Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,41,Khatib,22,21.0,20,0.0,0.0,0.0,0.0,0.0,0.0,28.66666666666667,33.3,24.7,5.0,26.6
2014,42,Khatib,25,19.5,14,13.0,0.0,3.0,8.8,9.6,12.8,27.58333333333333,34.6,24.2,3.8285714285714287,33.5
2014,43,Khatib,26,19.5,13,11.2,0.0,2.2,5.6,5.6,6.0,27.8,34.1,23.4,4.185714285714285,31.0
2014,44,Khatib,25,19.0,13,68.4,0.0,12.828571428571431,43.6,61.6,67.8,27.685714285714287,33.8,23.3,3.928571428571429,41.4
2014,45,Khatib,21,20.0,19,62.2,0.0,19.771428571428565,30.6,37.4,41.2,27.17142857142857,34.1,22.5,4.428571428571429,40.7
2014,46,Khatib,12,12.0,12,92.6,0.0,25.4,68.2,90.6,92.6,26.4,33.0,22.4,3.7428571428571433,61.2
2014,47,Khatib,12,9.0,6,22.0,0.0,8.257142857142856,15.2,21.0,21.8,26.5,33.2,23.7,3.6142857142857134,31.0
2014,48,Khatib,8,6.0,4,17.6,0.0,7.514285714285713,11.4,14.0,17.0,26.9,33.3,23.2,3.6428571428571432,25.9
2014,49,Khatib,7,6.5,6,78.2,0.0,14.571428571428573,32.6,53.2,70.6,26.95714285714286,33.8,22.3,3.7571428571428567,33.1
2014,50,Khatib,4,2.5,1,26.8,0.0,4.4,19.0,20.2,20.6,27.814285714285717,33.5,23.8,5.357142857142857,30.6
2014,51,Khatib,5,4.0,3,47.2,0.0,16.34285714285714,38.2,44.8,46.8,26.542857142857148,33.0,23.2,4.5285714285714285,31.7
2014,52,Khatib,4,3.0,1,67.4,0.0,8.34,30.6,35.2,44.0,26.04,31.3,22.6,5.13,37.8
2015,1,Khatib,8,8.0,8,0.2,0.0,0.05,0.2,0.2,0.2,26.9,32.1,23.4,6.875000000000001,32.8
2015,2,Khatib,16,14.5,13,39.0,0.0,11.4,25.4,26.8,29.2,26.3,33.0,23.5,5.457142857142856,27.0
2015,3,Khatib,12,9.5,7,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,27.25714285714286,32.3,23.4,7.628571428571428,32.4
2015,4,Khatib,7,5.5,4,35.0,0.0,5.0,32.6,34.6,35.0,26.67142857142857,31.7,23.1,7.2857142857142865,32.0
2015,5,Khatib,13,8.0,3,0.2,0.0,0.03333333333333333,0.2,0.2,0.2,27.05,32.3,23.3,6.866666666666666,33.5
2015,9,Khatib,5,3.5,2,0.0,0.0,0.0,0.0,0.0,0.0,28.4,33.8,25.0,7.3,30.2
2015,10,Khatib,4,3.0,2,2.4,0.0,0.3428571428571429,2.4,2.4,2.4,28.057142857142853,34.7,24.1,6.0,33.8
2015,11,Khatib,15,9.5,4,8.5,0.0,1.3857142857142857,3.5,3.5,3.5,27.485714285714288,33.6,23.9,6.185714285714285,33.8
2015,12,Khatib,17,14.0,11,67.6,0.0,19.0,35.8,61.2,67.4,27.771428571428572,34.2,22.5,5.042857142857144,34.6
2015,13,Khatib,14,11.5,9,13.6,0.0,2.2,3.8,6.2,10.2,28.17142857142857,33.6,23.9,6.5857142857142845,32.0
2015,14,Khatib,20,16.5,13,55.2,0.0,16.885714285714286,45.4,55.0,55.2,27.185714285714287,34.1,23.2,3.942857142857144,35.3
2015,15,Khatib,14,13.0,12,61.0,0.0,10.957142857142856,32.0,43.0,60.5,28.428571428571434,34.5,23.6,5.328571428571427,40.3
2015,16,Khatib,12,10.5,9,0.0,0.0,0.0,0.0,0.0,0.0,28.90000000000001,34.3,24.9,5.642857142857142,29.9
2015,17,Khatib,9,7.5,6,30.0,0.0,5.057142857142857,26.8,29.2,30.0,27.485714285714288,34.9,23.7,3.914285714285714,34.9
2015,18,Khatib,6,5.5,5,82.8,0.0,21.314285714285713,38.2,58.6,78.4,27.1,34.5,23.2,3.4428571428571435,29.5
2015,19,Khatib,5,5.0,5,17.4,0.0,3.4285714285714284,14.2,16.6,17.4,28.057142857142853,34.0,23.7,3.9428571428571435,27.7
2015,20,Khatib,11,8.0,5,25.4,0.0,9.314285714285717,23.2,25.4,25.4,27.97142857142857,34.4,24.1,3.9714285714285715,36.4
2015,21,Khatib,7,4.5,2,16.2,0.0,5.6000000000000005,9.6,11.6,14.6,27.757142857142853,33.5,24.5,3.771428571428572,24.5
2015,22,Khatib,16,9.0,2,11.4,0.0,1.8,11.2,11.4,11.4,28.42857142857143,34.2,24.2,4.442857142857143,28.4
2015,23,Khatib,15,15.0,15,15.0,0.0,2.914285714285714,8.8,13.2,14.8,28.066666666666666,34.5,24.1,3.8285714285714287,26.3
2015,24,Khatib,15,12.0,9,21.2,0.0,4.457142857142856,17.0,20.2,20.8,27.24285714285714,33.4,23.5,4.0,35.3
2015,25,Khatib,12,12.0,12,10.4,0.0,1.4857142857142858,8.0,9.2,9.2,28.1,33.2,22.8,4.885714285714286,32.0
