Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI West,Avg PSI West
2014,38,Tuas South,3.0,2.5,2.0,13.6,0.0,2.914285714285714,7.6,7.8,12.6,28.885714285714286,32.9,25.2,6.128571428571428,69.5,,
2014,39,Tuas South,12.0,7.5,3.0,15.8,0.0,3.1428571428571432,9.8,10.2,10.2,28.942857142857147,33.1,24.6,5.285714285714287,28.8,,
2014,40,Tuas South,22.0,15.5,9.0,0.8,0.0,0.1142857142857143,0.8,0.8,0.8,29.071428571428577,33.1,24.7,6.200000000000001,38.2,,
2014,41,Tuas South,20.0,18.5,17.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,29.40000000000001,33.3,25.8,5.442857142857144,32.0,,
2014,42,Tuas South,17.0,14.5,12.0,10.6,0.0,3.457142857142857,9.8,10.2,10.2,28.057142857142853,32.2,24.1,5.157142857142857,28.8,,
2014,43,Tuas South,10.0,9.0,8.0,69.8,0.0,10.4,31.2,56.2,60.0,28.385714285714283,33.2,22.9,4.814285714285714,24.8,,
2014,44,Tuas South,4.0,4.0,4.0,7.4,0.0,1.8857142857142857,7.2,7.2,7.2,28.785714285714285,33.6,25.6,6.085714285714286,47.2,,
2014,45,Tuas South,1.0,0.5,0.0,31.4,0.0,7.857142857142858,19.6,25.8,27.0,28.47142857142857,33.8,24.4,6.742857142857143,44.3,,
2014,46,Tuas South,1.0,0.5,0.0,25.4,0.0,5.971428571428571,22.8,25.4,25.4,27.314285714285717,31.5,23.5,5.857142857142858,43.2,,
2014,47,Tuas South,1.0,1.0,1.0,50.0,0.0,10.342857142857145,46.4,47.8,48.0,27.28571428571429,32.2,23.9,4.985714285714286,25.6,,
2014,48,Tuas South,3.0,2.0,1.0,25.0,0.0,7.171428571428572,24.0,25.0,25.0,27.542857142857148,32.3,23.3,6.0857142857142845,35.6,,
2014,49,Tuas South,5.0,4.0,3.0,58.4,0.0,14.399999999999995,19.0,29.6,32.6,27.657142857142855,32.5,22.8,6.5,58.3,,
2014,50,Tuas South,2.0,1.5,1.0,38.6,0.0,9.828571428571427,28.2,29.6,30.6,27.771428571428572,32.9,24.7,5.585714285714286,34.9,,
2014,51,Tuas South,4.0,3.5,3.0,57.4,0.0,11.542857142857144,36.8,51.0,57.4,26.92857142857143,32.8,23.2,6.0,35.6,,
2014,52,Tuas South,2.0,1.0,0.0,14.6,0.0,3.4199999999999995,6.2,7.4,10.2,26.3,30.6,24.0,7.250000000000003,44.3,,
2015,1,Tuas South,1.0,1.0,1.0,0.2,0.0,0.1,0.2,0.2,0.2,27.275,31.8,24.8,7.025,25.2,,
2015,2,Tuas South,12.0,10.5,9.0,22.6,0.0,4.628571428571429,12.2,13.0,13.2,26.74285714285714,32.1,23.6,7.142857142857144,29.2,,
2015,3,Tuas South,9.0,7.5,6.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,27.728571428571428,32.6,24.5,7.985714285714287,25.6,,
2015,4,Tuas South,4.0,3.5,3.0,22.4,0.0,5.942857142857143,19.0,22.4,22.4,27.08571428571429,32.2,24.0,7.014285714285713,27.7,,
2015,5,Tuas South,6.0,4.5,3.0,1.2,0.0,0.2857142857142857,1.2,1.2,1.2,27.228571428571428,31.9,24.2,6.785714285714287,32.0,,
2015,6,Tuas South,10.0,7.0,4.0,29.4,0.0,4.942857142857143,10.4,13.8,24.2,26.428571428571423,31.1,23.7,7.014285714285713,28.4,,
2015,7,Tuas South,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,31.9,24.2,6.9750000000000005,28.1,,
2015,8,Tuas South,1.0,1.0,1.0,26.4,0.0,7.228571428571428,10.8,12.4,21.4,27.6,33.5,23.6,6.842857142857143,46.8,,
2015,9,Tuas South,2.0,1.0,0.0,1.6,0.0,0.3428571428571429,1.2,1.4,1.6,28.085714285714282,35.2,22.1,6.028571428571429,29.5,,
