Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
2014,1,Khatib,20,20.0,20,,,,,,
2014,2,Khatib,35,25.0,15,,,,,,
2014,3,Khatib,41,37.5,34,,,,,,
2014,4,Khatib,40,33.0,26,,,,,,
2014,5,Khatib,27,23.33333333333333,19,,,,,,
2014,6,Khatib,32,26.75,22,,,,,,
2014,7,Khatib,16,11.0,7,,,,,,
2014,8,Khatib,14,10.333333333333334,7,4.441428571428571,10.5,26.382857142857144,8.375000000000002,6.447142857142857,31.833333333333332
2014,9,Khatib,10,7.333333333333332,6,3.1714285714285713,6.1,26.28214285714286,8.975000000000001,6.982142857142858,31.277777777777775
2014,10,Khatib,5,3.5,2,1.442857142857143,10.05,26.339285714285715,9.500000000000002,7.317857142857143,27.694444444444443
2014,11,Khatib,7,5.333333333333333,3,1.4500000000000002,10.100000000000001,26.728571428571428,10.55,7.257142857142858,20.36111111111111
2014,12,Khatib,7,5.0,3,1.4500000000000002,10.100000000000001,27.224999999999998,10.85,7.575000000000001,16.02777777777778
2014,13,Khatib,10,8.666666666666666,7,1.4500000000000002,10.100000000000001,27.567857142857143,10.724999999999998,7.714285714285714,9.555555555555555
2014,14,Khatib,9,6.0,3,0.0071428571428571435,0.05,27.885714285714286,10.899999999999999,7.9785714285714295,7.0555555555555545
2014,15,Khatib,2,2.0,2,0.9285714285714284,1.75,27.95357142857143,10.7,8.028571428571428,5.388888888888888
2014,16,Khatib,3,1.5,0,6.611904761904761,12.05,27.617857142857144,10.825,7.063690476190477,4.611111111111111
2014,17,Khatib,0,0.0,0,7.819047619047618,19.75,27.852380952380955,10.850000000000001,6.6136904761904765,6.333333333333333
2014,18,Khatib,0,0.0,0,8.483333333333333,22.05,27.90952380952381,10.475000000000001,5.952976190476191,6.5555555555555545
2014,19,Khatib,4,3.5,3,8.94047619047619,25.25,27.78452380952381,10.725000000000001,5.0529761904761905,5.5555555555555545
2014,20,Khatib,4,4.0,4,4.521428571428571,17.8,28.055952380952384,11.274999999999999,4.789285714285715,3.1666666666666665
2014,21,Khatib,2,1.0,0,3.746428571428572,11.049999999999999,27.728571428571428,11.450000000000003,4.110714285714286,1.1666666666666667
2014,22,Khatib,2,1.0,0,3.946428571428572,12.5,27.70357142857143,11.424999999999999,3.925,0.5
2014,23,Khatib,4,3.0,2,5.725,15.600000000000001,27.799999999999997,11.275,3.885714285714286,1.1666666666666667
2014,24,Khatib,9,5.0,1,5.567857142857142,15.15,27.78928571428571,10.875,3.95,2.5
2014,25,Khatib,6,5.5,5,7.478571428571428,22.9,27.810714285714283,11.000000000000004,4.014285714285714,2.8333333333333335
2014,26,Khatib,14,9.0,4,8.528571428571427,25.5,27.721428571428575,10.650000000000002,4.053571428571429,2.0
2014,27,Khatib,84,54.5,25,8.392857142857142,24.299999999999997,27.6,10.325000000000003,4.046428571428572,1.6666666666666667
2014,28,Khatib,197,149.5,102,8.307142857142857,25.349999999999998,27.85714285714286,10.625,4.146428571428571,3.0
2014,29,Khatib,323,298.5,274,6.614285714285715,19.349999999999998,28.364285714285717,10.525,4.453571428571428,4.5
2014,30,Khatib,247,245.5,244,5.364285714285715,14.85,28.417857142857144,11.025000000000002,4.546428571428572,6.5
2014,31,Khatib,123,121.5,120,3.5,12.45,28.378571428571426,11.100000000000001,4.617857142857143,23.0
2014,32,Khatib,71,58.5,46,6.942857142857143,21.35,28.08214285714286,11.075,4.675,71.0
2014,33,Khatib,40,38.5,37,6.621428571428571,20.95,27.87857142857143,11.100000000000001,4.546428571428571,167.5
2014,34,Khatib,53,48.5,44,6.535714285714286,23.1,28.14285714285714,11.125000000000002,4.867857142857142,231.16666666666666
2014,35,Khatib,58,52.5,47,7.385714285714286,25.549999999999997,28.13214285714286,11.05,4.996428571428571,221.83333333333334
2014,36,Khatib,62,53.5,45,4.257142857142858,16.349999999999998,28.132142857142856,10.525000000000002,5.135714285714286,141.83333333333334
2014,37,Khatib,52,51.0,50,5.964285714285714,25.3,27.582142857142856,9.850000000000001,4.95,72.83333333333333
2014,38,Khatib,48,46.0,44,5.742857142857144,22.1,27.157142857142855,9.150000000000002,4.571428571428571,48.5
2014,39,Khatib,46,44.0,42,6.571428571428572,21.3,26.84642857142857,9.325000000000003,4.342857142857143,46.5
2014,40,Khatib,34,32.0,30,7.078571428571429,25.9,26.84642857142857,9.675000000000002,4.242857142857142,51.5
