Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2017,21,Khatib,4,3.5,3
2017,22,Khatib,11,8.5,6
2017,23,Khatib,5,3.5,2
2017,24,Khatib,3,2.5,2
2017,25,Khatib,2,2.0,2
2017,26,Khatib,5,3.6666666666666665,2
2017,27,Khatib,7,6.5,6
2017,28,Khatib,4,2.0,0
2017,29,Khatib,1,0.5,0
2017,30,Khatib,3,2.5,2
2017,31,Khatib,1,0.5,0
2017,32,Khatib,4,4.0,4
2017,33,Khatib,3,1.5,0
2017,34,Khatib,0,0.0,0
2017,35,Khatib,1,0.5,0
2017,36,Khatib,2,1.5,1
2017,37,Khatib,2,1.0,0
2017,38,Khatib,0,0.0,0
2017,39,Khatib,0,0.0,0
2017,40,Khatib,3,1.5,0
2017,42,Khatib,3,1.0,0
2017,41,Khatib,0,0.0,0
2017,43,Khatib,2,2.0,2
2017,44,Khatib,2,2.0,2
2017,45,Khatib,1,0.5,0
2017,46,Khatib,1,1.0,1
2017,47,Khatib,1,1.0,1
2017,48,Khatib,1,0.5,0
2017,49,Khatib,0,0.0,0
2017,50,Khatib,0,0.0,0
2017,51,Khatib,5,2.5,0
2017,52,Khatib,7,7.0,7
2018,1,Khatib,2,2.0,2
2018,2,Khatib,0,0.0,0
2018,3,Khatib,3,1.5,0
2018,4,Khatib,3,2.5,2
2018,5,Khatib,2,1.0,0
2018,6,Khatib,4,2.0,0
2018,7,Khatib,10,7.0,4
2018,8,Khatib,6,4.5,3
2018,9,Khatib,4,3.0,2
2018,10,Khatib,5,3.5,2
2018,11,Khatib,3,1.5,0
2018,12,Khatib,0,0.0,0
2018,13,Khatib,0,0.0,0
2018,14,Khatib,3,1.5,0
2018,15,Khatib,6,5.5,5
2018,16,Khatib,3,2.5,2
2018,17,Khatib,8,4.5,1
2018,18,Khatib,8,8.0,8
2018,19,Khatib,4,3.0,2
2018,20,Khatib,2,1.0,0
2018,21,Khatib,3,3.0,3
2018,22,Khatib,2,1.5,1
2018,23,Khatib,1,0.5,0
2018,24,Khatib,5,2.5,0
2018,25,Khatib,8,7.0,6
2018,26,Khatib,9,7.0,5
2018,27,Khatib,10,8.5,7
2018,28,Khatib,10,8.0,6
2018,29,Khatib,5,4.5,4
2018,30,Khatib,8,4.5,1
2018,31,Khatib,10,8.0,6
2018,32,Khatib,5,3.5,2
2018,33,Khatib,11,7.0,3
2018,34,Khatib,13,13.0,13
2018,35,Khatib,24,19.0,14
2018,36,Khatib,23,18.5,14
2018,37,Khatib,22,20.0,18
2018,38,Khatib,21,19.5,18
2018,39,Khatib,19,17.0,15
2018,40,Khatib,13,12.0,11
2018,41,Khatib,10,9.0,8
2018,42,Khatib,8,7.0,6
2018,43,Khatib,14,10.5,7
2018,44,Khatib,18,16.0,14
2018,45,Khatib,10,10.0,10
2018,46,Khatib,13,13.0,13
2018,47,Khatib,14,12.0,10
2018,48,Khatib,15,14.5,14
2018,49,Khatib,12,11.0,10
2018,50,Khatib,12,12.0,12
2018,51,Khatib,13,11.5,10
2018,52,Khatib,16,14.333333333333336,13
2019,1,Khatib,15,15.0,15
2019,2,Khatib,34,28.5,23
2019,3,Khatib,42,38.5,35
2019,4,Khatib,33,32.5,32
2019,5,Khatib,45,45.0,45
2019,14,Khatib,37,37.0,37
2019,15,Khatib,34,34.0,34
2019,16,Khatib,46,46.0,46
2019,17,Khatib,48,48.0,48
2019,18,Khatib,56,52.5,49
2019,19,Khatib,94,94.0,94
2019,20,Khatib,147,147.0,147
2019,21,Khatib,135,135.0,135
2019,22,Khatib,106,106.0,106
2019,23,Khatib,128,115.5,103
2019,24,Khatib,121,121.0,121
2019,25,Khatib,93,93.0,93
2019,26,Khatib,83,83.0,83
2019,27,Khatib,76,73.5,71
2019,28,Khatib,80,80.0,80
2019,29,Khatib,92,92.0,92
2019,30,Khatib,101,101.0,101
2019,31,Khatib,127,127.0,127
2019,32,Khatib,117,117.0,117
2019,33,Khatib,123,123.0,123
2019,35,Khatib,117,117.0,117
2019,36,Khatib,64,64.0,64
2019,37,Khatib,58,58.0,58
2019,38,Khatib,32,32.0,32
2019,39,Khatib,46,46.0,46
2019,40,Khatib,41,41.0,41
2019,41,Khatib,38,38.0,38
2019,42,Khatib,38,38.0,38
2019,43,Khatib,30,30.0,30
2019,44,Khatib,58,58.0,58
2019,45,Khatib,73,73.0,73
2019,46,Khatib,98,98.0,98
2019,47,Khatib,127,127.0,127
2019,48,Khatib,96,96.0,96
2019,49,Khatib,69,69.0,69
2019,50,Khatib,75,75.0,75
2019,51,Khatib,60,60.0,60
2019,52,Khatib,75,75.0,75
