,Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
122,2016,21,Changi,19,18.5,18,2.7428571428571424,9.5,29.49285714285714,8.599999999999998,7.703571428571428,33.666666666666664
123,2016,22,Changi,13,11.0,9,6.707142857142857,16.95,29.21071428571429,8.799999999999997,7.114285714285713,32.5
124,2016,23,Changi,17,12.5,8,6.5285714285714285,18.7,29.342857142857145,9.0,7.535714285714286,25.33333333333333
125,2016,24,Changi,14,13.5,13,7.064285714285715,20.8,28.942857142857147,8.975,7.135714285714287,19.83333333333333
126,2016,25,Changi,23,19.5,16,6.9,21.65,28.817857142857147,8.525,7.132142857142857,14.0
127,2016,26,Changi,32,28.0,24,4.821428571428571,19.6,28.59285714285714,8.075000000000003,6.882142857142857,12.333333333333336
128,2016,27,Changi,20,19.5,19,6.221428571428572,27.4,28.332142857142852,8.350000000000001,6.717857142857143,15.166666666666664
129,2016,28,Changi,22,20.0,18,5.664285714285715,25.15,28.71785714285714,8.075,7.742857142857143,20.33333333333333
130,2016,29,Changi,37,30.5,24,5.1571428571428575,22.65,28.92857142857143,8.4,8.674999999999997,22.33333333333333
131,2016,30,Changi,54,50.0,46,2.9642857142857144,14.6,29.003571428571423,8.5,8.785714285714285,22.5
132,2016,31,Changi,38,35.0,32,5.7928571428571445,11.45,28.682142857142853,8.599999999999998,8.567857142857143,23.33333333333333
133,2016,32,Changi,25,24.5,24,6.021428571428572,12.45,28.242857142857147,8.924999999999997,7.5928571428571425,33.5
134,2016,33,Changi,39,37.0,35,7.007142857142859,16.9,27.964285714285715,9.349999999999998,7.0,38.5
135,2016,34,Changi,39,37.5,36,7.057142857142859,17.4,28.228571428571428,9.2,7.242857142857143,36.5
136,2016,35,Changi,39,35.5,32,3.271428571428572,14.9,28.732142857142854,9.0,8.396428571428572,32.166666666666664
137,2016,36,Changi,38,32.5,27,4.178571428571429,18.45,28.97142857142857,9.425,8.464285714285715,33.0
138,2016,37,Changi,31,27.0,23,3.95,15.45,28.91428571428571,8.9,8.075,36.66666666666666
139,2016,38,Changi,25,20.5,16,4.7,17.6,28.63214285714286,9.3,8.085714285714285,35.166666666666664
140,2016,39,Changi,13,12.5,12,5.264285714285714,14.099999999999998,28.332142857142852,9.375,6.971428571428571,31.66666666666667
141,2016,40,Changi,21,14.5,8,4.782142857142857,13.05,28.192857142857147,9.45,7.01547619047619,26.66666666666667
142,2016,41,Changi,20,16.5,13,4.053571428571429,12.2,28.325000000000006,9.85,6.936904761904763,20.0
143,2016,42,Changi,12,12.0,12,6.546428571428572,27.6,28.28214285714286,10.349999999999998,6.515476190476191,15.833333333333336
144,2016,43,Changi,8,7.0,6,4.6535714285714285,24.55,28.675,10.325,6.883333333333333,14.5
145,2016,44,Changi,8,6.0,4,5.014285714285714,25.95,28.742857142857147,10.45,6.860714285714287,14.333333333333336
146,2016,45,Changi,8,7.5,7,6.464285714285714,27.45,28.275,10.2,6.6035714285714295,11.833333333333336
147,2016,46,Changi,7,6.0,5,5.092857142857143,14.75,28.232142857142858,9.725,6.675000000000002,8.333333333333334
148,2016,47,Changi,9,6.5,4,8.1,25.15,27.70714285714286,9.5,6.067857142857144,6.833333333333332
149,2016,48,Changi,5,3.5,2,11.685714285714285,33.45,27.310714285714287,9.2,5.710714285714286,6.5
150,2016,49,Changi,6,5.5,5,10.335714285714284,30.8,27.489285714285717,8.725000000000001,5.942857142857143,6.666666666666668
151,2016,50,Changi,5,2.5,0,9.635714285714286,29.700000000000006,27.375,8.525,6.05,5.333333333333333
152,2016,51,Changi,1,0.5,0,9.557142857142855,26.6,27.435714285714283,8.725000000000001,6.332142857142857,5.166666666666667
153,2016,52,Changi,4,2.5,1,6.192857142857143,18.5,27.639285714285716,9.025000000000002,6.7285714285714295,3.8333333333333335
154,2017,1,Changi,5,3.0,1,10.271428571428572,28.7,27.57142857142857,9.75,7.082142857142857,2.833333333333333
