Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,39,Ang Mo Kio,62,59.5,57,20.4,0.0,4.4,11.8,12.4,12.6,28.57142857142857,34.2,22.8,6.785714285714287,40.3
2014,40,Ang Mo Kio,78,69.5,61,11.4,0.0,1.6285714285714286,11.2,11.2,11.4,28.742857142857147,34.4,23.6,7.314285714285715,35.3
2014,41,Ang Mo Kio,56,53.5,51,0.4,0.0,0.08571428571428573,0.4,0.4,0.4,29.02857142857143,34.3,25.2,6.514285714285713,36.4
2014,42,Ang Mo Kio,47,46.0,45,29.6,0.0,7.2666666666666675,15.4,27.2,29.6,28.133333333333336,33.9,23.4,4.483333333333333,42.8
2014,43,Ang Mo Kio,50,47.5,45,39.8,0.0,6.4,23.4,30.6,31.2,28.285714285714285,34.0,23.6,4.9857142857142875,33.8
2014,44,Ang Mo Kio,47,37.0,27,27.8,0.0,7.971428571428571,22.8,27.8,27.8,28.24285714285714,34.0,22.2,4.542857142857144,38.2
2014,45,Ang Mo Kio,36,33.0,30,40.6,0.0,11.8,23.4,32.6,32.8,27.714285714285715,34.0,22.6,5.328571428571427,34.6
2014,46,Ang Mo Kio,30,26.0,22,54.2,0.0,21.25714285714286,38.4,47.8,53.6,26.771428571428572,32.9,22.6,4.242857142857143,40.0
2014,47,Ang Mo Kio,25,21.0,17,29.4,0.0,10.828571428571427,19.2,28.6,29.4,26.742857142857147,32.9,23.1,4.085714285714286,38.5
2014,48,Ang Mo Kio,24,22.0,20,54.0,0.0,15.885714285714286,36.4,46.8,49.8,27.099999999999994,32.8,22.5,4.171428571428572,42.8
2014,49,Ang Mo Kio,27,22.5,18,44.2,0.0,8.314285714285713,15.8,26.2,37.0,27.300000000000004,33.7,22.4,4.5285714285714285,37.1
2014,50,Ang Mo Kio,39,32.0,25,4.0,0.0,0.7428571428571429,2.4,2.8,3.8,27.642857142857142,32.5,24.3,6.185714285714287,36.7
2014,51,Ang Mo Kio,34,25.0,16,57.2,0.0,14.514285714285714,46.0,53.8,56.6,26.52857142857143,32.7,23.1,5.128571428571427,31.7
2014,52,Ang Mo Kio,30,26.66666666666667,20,51.4,0.0,8.5,23.4,33.2,35.6,25.9,32.0,23.2,5.5600000000000005,37.8
2015,1,Ang Mo Kio,24,24.0,24,0.4,0.0,0.15000000000000002,0.4,0.4,0.4,26.55,31.5,24.2,7.225,35.6
2015,2,Ang Mo Kio,37,37.0,37,41.8,0.0,8.399999999999999,16.2,24.0,27.6,26.142857142857146,32.6,23.6,5.571428571428571,28.8
2015,3,Ang Mo Kio,60,49.5,39,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,26.842857142857145,31.5,23.6,9.05714285714286,36.7
2015,4,Ang Mo Kio,57,55.0,53,29.2,0.0,4.171428571428572,22.4,25.8,29.2,26.242857142857147,30.8,23.4,8.414285714285715,37.1
2015,5,Ang Mo Kio,64,49.5,35,0.0,0.0,0.0,0.0,0.0,0.0,26.54285714285714,32.1,23.2,8.114285714285716,39.2
2015,6,Ang Mo Kio,49,42.5,36,7.0,0.0,1.7714285714285711,4.2,4.2,4.6,25.814285714285717,30.0,23.0,8.442857142857141,43.2
2015,7,Ang Mo Kio,23,22.5,22,0.0,0.0,0.0,0.0,0.0,0.0,26.46666666666667,31.8,23.3,8.5,41.4
2015,8,Ang Mo Kio,19,19.0,19,19.6,0.0,2.8000000000000003,15.0,16.8,18.0,27.014285714285712,32.7,22.5,8.357142857142858,35.6
2015,9,Ang Mo Kio,28,21.0,14,40.2,0.0,5.742857142857143,35.6,40.2,40.2,27.357142857142854,33.8,20.3,7.628571428571428,38.2
2015,10,Ang Mo Kio,28,22.0,16,45.6,0.0,6.571428571428571,37.4,44.8,45.6,27.685714285714283,34.8,23.6,6.471428571428571,38.9
2015,11,Ang Mo Kio,14,13.5,13,12.4,0.0,1.8285714285714287,6.2,6.2,6.2,27.114285714285714,32.7,24.1,6.985714285714287,36.0
2015,12,Ang Mo Kio,14,12.5,11,63.2,0.0,17.62857142857143,48.6,57.0,63.2,27.685714285714283,34.8,22.1,5.7,47.9
2015,13,Ang Mo Kio,11,10.0,9,30.0,0.0,5.428571428571429,20.8,21.8,27.6,27.885714285714286,34.7,23.3,7.257142857142857,37.1
2015,14,Ang Mo Kio,9,7.0,5,31.6,0.0,12.22857142857143,22.4,29.2,30.4,27.52857142857143,33.8,23.2,4.457142857142856,38.9
2015,15,Ang Mo Kio,10,9.0,8,44.0,0.0,6.514285714285713,33.4,38.6,43.8,28.4,34.1,23.6,6.014285714285713,35.6
2015,16,Ang Mo Kio,5,3.5,2,0.6,0.0,0.1142857142857143,0.4,0.6,0.6,29.0,33.6,24.6,6.357142857142858,32.4
2015,17,Ang Mo Kio,5,4.5,4,47.4,0.0,12.8,27.4,45.0,47.4,27.685714285714287,34.0,22.6,4.414285714285714,47.2
