Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI Central,Avg PSI Central
2014,16,Ang Mo Kio,115.0,100.0,85.0,21.2,0.0,6.285714285714287,17.4,18.8,21.2,28.057142857142853,34.3,23.0,4.5285714285714285,38.5,,
2014,17,Ang Mo Kio,128.0,113.66666666666669,90.0,19.0,0.0,5.885714285714287,15.8,18.6,18.8,28.0,34.9,24.1,4.071428571428571,34.2,,
2014,18,Ang Mo Kio,100.0,100.0,100.0,28.0,0.0,4.4,27.0,28.0,28.0,28.942857142857147,34.8,24.4,4.771428571428571,34.6,,
2014,19,Ang Mo Kio,78.0,71.5,65.0,42.2,0.0,9.2,30.4,36.8,37.2,28.771428571428572,34.5,22.7,4.785714285714286,41.4,,
2014,20,Ang Mo Kio,86.0,68.0,50.0,38.0,0.0,11.857142857142858,22.2,34.2,38.0,28.5,34.3,23.4,4.9,44.3,,
2014,21,Ang Mo Kio,124.0,99.0,74.0,23.2,0.0,7.0,17.4,22.8,23.0,27.985714285714288,33.6,22.9,4.828571428571427,33.1,,
2014,22,Ang Mo Kio,184.0,153.0,122.0,10.8,0.0,3.9142857142857146,8.8,8.8,8.8,28.442857142857147,34.0,25.1,4.885714285714286,45.0,,
2014,23,Ang Mo Kio,201.0,179.0,157.0,32.6,0.0,7.828571428571429,15.2,20.6,30.2,28.3,33.7,24.1,5.3285714285714265,45.7,,
2014,24,Ang Mo Kio,212.0,191.0,170.0,13.6,0.0,3.228571428571428,8.8,11.2,13.4,29.37142857142857,35.0,22.5,5.3285714285714265,50.0,,
2014,25,Ang Mo Kio,201.0,190.0,179.0,11.8,0.0,2.2857142857142856,11.4,11.8,11.8,30.157142857142855,34.8,23.7,6.585714285714286,43.6,,
2014,26,Ang Mo Kio,209.0,205.0,201.0,16.8,0.0,5.7142857142857135,15.8,15.8,16.8,29.157142857142855,33.7,22.3,5.514285714285713,48.6,,
2014,27,Ang Mo Kio,234.0,234.0,234.0,26.2,0.0,4.514285714285714,15.2,24.4,26.2,28.300000000000004,32.9,22.8,4.614285714285715,34.6,,
2014,28,Ang Mo Kio,240.0,217.0,194.0,34.6,0.0,10.028571428571428,31.2,33.6,34.0,28.08571428571429,33.2,21.8,5.7142857142857135,49.0,,
2014,29,Ang Mo Kio,241.0,215.5,190.0,5.4,0.0,0.8,5.2,5.2,5.4,29.385714285714283,33.4,22.7,6.1571428571428575,34.9,,
2014,30,Ang Mo Kio,185.0,174.0,163.0,18.2,0.0,2.6,15.8,17.4,18.0,29.6,34.1,22.5,7.128571428571428,37.4,,
2014,31,Ang Mo Kio,156.0,144.5,133.0,16.6,0.0,5.428571428571429,11.6,12.6,12.6,28.228571428571428,32.7,23.0,5.9142857142857155,56.5,,
2014,32,Ang Mo Kio,163.0,161.5,160.0,4.0,0.0,1.3142857142857145,2.8,2.8,2.8,28.07142857142857,32.4,23.5,6.357142857142858,38.2,,
2014,33,Ang Mo Kio,144.0,141.0,138.0,60.2,0.0,11.057142857142859,37.2,46.2,46.2,27.04285714285714,31.5,22.9,5.042857142857144,33.5,,
2014,34,Ang Mo Kio,95.0,91.0,87.0,24.0,0.0,4.371428571428572,15.0,15.8,24.0,28.057142857142853,32.7,23.8,6.142857142857142,41.4,,
2014,35,Ang Mo Kio,74.0,72.5,71.0,14.6,0.0,7.228571428571428,8.6,9.8,12.8,26.70000000000001,31.1,22.7,4.928571428571427,46.4,,
2014,36,Ang Mo Kio,51.0,47.0,43.0,24.8,0.0,5.257142857142857,13.6,17.0,23.6,27.985714285714288,33.6,22.5,6.314285714285715,44.3,,
2014,37,Ang Mo Kio,59.0,53.5,48.0,7.4,0.0,1.0571428571428572,4.4,4.6,4.6,28.6,33.3,23.7,6.200000000000001,33.1,,
2014,38,Ang Mo Kio,70.0,65.5,61.0,14.2,0.0,4.314285714285714,13.6,14.0,14.0,28.67142857142857,33.3,23.8,7.371428571428571,41.0,,
2014,39,Ang Mo Kio,62.0,59.5,57.0,20.4,0.0,4.4,11.8,12.4,12.6,28.57142857142857,34.2,22.8,6.7857142857142865,40.3,,
2014,40,Ang Mo Kio,78.0,69.5,61.0,11.4,0.0,1.6285714285714286,11.2,11.2,11.4,28.742857142857147,34.4,23.6,7.314285714285715,35.3,,
2014,41,Ang Mo Kio,56.0,53.5,51.0,0.4,0.0,0.08571428571428573,0.4,0.4,0.4,29.02857142857143,34.3,25.2,6.514285714285713,36.4,,
2014,42,Ang Mo Kio,47.0,46.0,45.0,29.6,0.0,7.2666666666666675,15.4,27.2,29.6,28.133333333333336,33.9,23.4,4.483333333333333,42.8,,
2014,43,Ang Mo Kio,50.0,47.5,45.0,39.8,0.0,6.4,23.4,30.6,31.2,28.285714285714285,34.0,23.6,4.985714285714288,33.8,,
2014,44,Ang Mo Kio,47.0,37.0,27.0,27.8,0.0,7.971428571428571,22.8,27.8,27.8,28.24285714285714,34.0,22.2,4.542857142857144,38.2,,
2014,45,Ang Mo Kio,36.0,33.0,30.0,40.6,0.0,11.8,23.4,32.6,32.8,27.714285714285715,34.0,22.6,5.3285714285714265,34.6,,
2014,46,Ang Mo Kio,30.0,26.0,22.0,54.2,0.0,21.25714285714286,38.4,47.8,53.6,26.771428571428572,32.9,22.6,4.242857142857143,40.0,,
2014,47,Ang Mo Kio,25.0,21.0,17.0,29.4,0.0,10.828571428571427,19.2,28.6,29.4,26.742857142857147,32.9,23.1,4.085714285714286,38.5,,
2014,48,Ang Mo Kio,24.0,22.0,20.0,54.0,0.0,15.885714285714286,36.4,46.8,49.8,27.099999999999994,32.8,22.5,4.171428571428572,42.8,,
2014,49,Ang Mo Kio,27.0,22.5,18.0,44.2,0.0,8.314285714285713,15.8,26.2,37.0,27.300000000000004,33.7,22.4,4.5285714285714285,37.1,,
2014,50,Ang Mo Kio,39.0,32.0,25.0,4.0,0.0,0.7428571428571429,2.4,2.8,3.8,27.642857142857146,32.5,24.3,6.185714285714287,36.7,,
2014,51,Ang Mo Kio,34.0,25.0,16.0,57.2,0.0,14.514285714285714,46.0,53.8,56.6,26.52857142857143,32.7,23.1,5.128571428571427,31.7,,
2014,52,Ang Mo Kio,30.0,26.66666666666667,20.0,51.4,0.0,8.5,23.4,33.2,35.6,25.9,32.0,23.2,5.5600000000000005,37.8,,
2015,1,Ang Mo Kio,24.0,24.0,24.0,0.4,0.0,0.15000000000000002,0.4,0.4,0.4,26.55,31.5,24.2,7.225,35.6,,
2015,2,Ang Mo Kio,37.0,37.0,37.0,41.8,0.0,8.399999999999999,16.2,24.0,27.6,26.142857142857146,32.6,23.6,5.571428571428571,28.8,,
2015,3,Ang Mo Kio,60.0,49.5,39.0,0.2,0.0,0.028571428571428574,0.2,0.2,0.2,26.842857142857145,31.5,23.6,9.05714285714286,36.7,,
2015,4,Ang Mo Kio,57.0,55.0,53.0,29.2,0.0,4.171428571428572,22.4,25.8,29.2,26.242857142857147,30.8,23.4,8.414285714285715,37.1,,
2015,5,Ang Mo Kio,64.0,49.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54285714285714,32.1,23.2,8.114285714285716,39.2,,
2015,6,Ang Mo Kio,49.0,42.5,36.0,7.0,0.0,1.7714285714285711,4.2,4.2,4.6,25.814285714285717,30.0,23.0,8.442857142857141,43.2,,
2015,7,Ang Mo Kio,23.0,22.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,26.46666666666667,31.8,23.3,8.5,41.4,,
2015,8,Ang Mo Kio,19.0,19.0,19.0,19.6,0.0,2.8000000000000003,15.0,16.8,18.0,27.014285714285712,32.7,22.5,8.357142857142858,35.6,,
2015,9,Ang Mo Kio,28.0,21.0,14.0,40.2,0.0,5.742857142857143,35.6,40.2,40.2,27.357142857142854,33.8,20.3,7.628571428571428,38.2,,
2015,10,Ang Mo Kio,28.0,22.0,16.0,45.6,0.0,6.571428571428571,37.4,44.8,45.6,27.685714285714283,34.8,23.6,6.471428571428571,38.9,,
2015,11,Ang Mo Kio,14.0,13.5,13.0,12.4,0.0,1.8285714285714287,6.2,6.2,6.2,27.114285714285717,32.7,24.1,6.985714285714287,36.0,,
2015,12,Ang Mo Kio,14.0,12.5,11.0,63.2,0.0,17.62857142857143,48.6,57.0,63.2,27.685714285714283,34.8,22.1,5.7,47.9,,
2015,13,Ang Mo Kio,11.0,10.0,9.0,30.0,0.0,5.428571428571429,20.8,21.8,27.6,27.885714285714286,34.7,23.3,7.257142857142857,37.1,,
2015,14,Ang Mo Kio,9.0,7.0,5.0,31.6,0.0,12.22857142857143,22.4,29.2,30.4,27.52857142857143,33.8,23.2,4.457142857142856,38.9,,
2015,15,Ang Mo Kio,10.0,9.0,8.0,44.0,0.0,6.514285714285713,33.4,38.6,43.8,28.4,34.1,23.6,6.014285714285713,35.6,,
2015,16,Ang Mo Kio,5.0,3.5,2.0,0.6,0.0,0.1142857142857143,0.4,0.6,0.6,29.0,33.6,24.6,6.357142857142858,32.4,,
2015,17,Ang Mo Kio,5.0,4.5,4.0,47.4,0.0,12.8,27.4,45.0,47.4,27.685714285714287,34.0,22.6,4.414285714285714,47.2,,
2015,18,Ang Mo Kio,5.0,4.5,4.0,58.0,0.0,16.371428571428574,27.2,45.4,55.0,27.414285714285718,34.1,23.2,4.1,36.0,,
2015,19,Ang Mo Kio,10.0,10.0,10.0,27.2,0.0,5.7714285714285705,26.0,27.0,27.0,28.614285714285717,34.0,23.6,5.185714285714285,30.6,,
2015,20,Ang Mo Kio,17.0,13.0,9.0,23.4,0.0,9.085714285714284,21.2,22.6,22.8,28.599999999999994,34.2,23.9,5.5,38.2,,
