Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2016,47,Marina Barrage,2,1.0,0
2016,48,Marina Barrage,5,3.5,2
2016,49,Marina Barrage,3,1.5,0
2016,50,Marina Barrage,0,0.0,0
2016,51,Marina Barrage,2,1.5,1
2016,52,Marina Barrage,1,0.5,0
2017,1,Marina Barrage,4,3.0,2
2017,2,Marina Barrage,5,3.5,2
2017,3,Marina Barrage,3,3.0,3
2017,4,Marina Barrage,4,2.0,0
2017,5,Marina Barrage,2,1.0,0
2017,6,Marina Barrage,7,5.0,3
2017,7,Marina Barrage,4,3.0,2
2017,8,Marina Barrage,3,2.0,1
2017,9,Marina Barrage,1,1.0,1
2017,10,Marina Barrage,0,0.0,0
2017,11,Marina Barrage,0,0.0,0
2017,12,Marina Barrage,0,0.0,0
2017,14,Marina Barrage,2,1.0,0
2017,15,Marina Barrage,1,0.5,0
2017,16,Marina Barrage,0,0.0,0
2017,17,Marina Barrage,0,0.0,0
2017,18,Marina Barrage,0,0.0,0
2017,19,Marina Barrage,0,0.0,0
2017,20,Marina Barrage,0,0.0,0
2017,21,Marina Barrage,0,0.0,0
2017,22,Marina Barrage,1,0.5,0
2017,23,Marina Barrage,2,1.5,1
2017,24,Marina Barrage,2,1.0,0
2017,25,Marina Barrage,0,0.0,0
2017,26,Marina Barrage,6,2.333333333333333,0
2017,27,Marina Barrage,5,4.5,4
2017,28,Marina Barrage,2,2.0,2
2017,29,Marina Barrage,2,1.5,1
2017,30,Marina Barrage,0,0.0,0
2017,31,Marina Barrage,4,3.0,2
2017,32,Marina Barrage,3,2.5,2
2017,33,Marina Barrage,2,1.0,0
2017,34,Marina Barrage,2,2.0,2
2017,35,Marina Barrage,2,2.0,2
2017,36,Marina Barrage,1,0.5,0
2017,37,Marina Barrage,0,0.0,0
2017,38,Marina Barrage,0,0.0,0
2017,39,Marina Barrage,0,0.0,0
2017,40,Marina Barrage,1,0.5,0
2017,42,Marina Barrage,2,1.6666666666666667,1
2017,41,Marina Barrage,2,2.0,2
2017,43,Marina Barrage,6,6.0,6
2017,44,Marina Barrage,5,4.0,3
2017,45,Marina Barrage,2,1.0,0
2017,46,Marina Barrage,0,0.0,0
2017,47,Marina Barrage,2,1.0,0
2017,48,Marina Barrage,1,1.0,1
2017,49,Marina Barrage,1,0.5,0
2017,50,Marina Barrage,0,0.0,0
2017,51,Marina Barrage,3,1.5,0
2017,52,Marina Barrage,3,3.0,3
2018,1,Marina Barrage,1,0.5,0
2018,2,Marina Barrage,3,2.5,2
2018,3,Marina Barrage,1,0.5,0
2018,4,Marina Barrage,0,0.0,0
2018,5,Marina Barrage,0,0.0,0
2018,6,Marina Barrage,0,0.0,0
2018,7,Marina Barrage,3,2.5,2
2018,8,Marina Barrage,1,0.5,0
2018,9,Marina Barrage,1,0.5,0
2018,10,Marina Barrage,3,2.5,2
2018,11,Marina Barrage,2,1.5,1
2018,12,Marina Barrage,2,1.0,0
2018,13,Marina Barrage,0,0.0,0
2018,14,Marina Barrage,2,1.0,0
2018,15,Marina Barrage,8,5.0,2
2018,16,Marina Barrage,7,6.0,5
2018,17,Marina Barrage,7,3.5,0
2018,18,Marina Barrage,0,0.0,0
2018,19,Marina Barrage,0,0.0,0
2018,20,Marina Barrage,4,2.0,0
2018,21,Marina Barrage,5,4.0,3
2018,22,Marina Barrage,8,5.0,2
2018,23,Marina Barrage,9,6.5,4
2018,24,Marina Barrage,6,6.0,6
2018,25,Marina Barrage,6,5.5,5
2018,26,Marina Barrage,5,3.5,2
2018,27,Marina Barrage,8,6.5,5
