Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2017,31,Changi,1,0.5,0
2017,32,Changi,7,4.5,2
2017,33,Changi,6,5.5,5
2017,34,Changi,3,3.0,3
2017,35,Changi,6,3.0,0
2017,36,Changi,3,2.5,2
2017,37,Changi,3,1.5,0
2017,38,Changi,2,1.0,0
2017,39,Changi,2,1.5,1
2017,40,Changi,8,5.0,2
2017,42,Changi,13,11.0,8
2017,41,Changi,13,13.0,13
2017,43,Changi,19,19.0,19
2017,44,Changi,15,14.0,13
2017,45,Changi,15,12.0,9
2017,46,Changi,8,8.0,8
2017,47,Changi,12,9.5,7
2017,48,Changi,5,4.0,3
2017,49,Changi,5,3.5,2
2017,50,Changi,7,6.5,6
2017,51,Changi,5,4.5,4
2017,52,Changi,5,5.0,5
2018,1,Changi,5,4.0,3
2018,2,Changi,9,7.5,6
2018,3,Changi,6,5.5,5
2018,4,Changi,7,6.5,6
2018,5,Changi,14,10.0,6
2018,6,Changi,18,15.5,13
2018,7,Changi,9,8.5,8
2018,8,Changi,2,1.0,0
2018,9,Changi,0,0.0,0
2018,10,Changi,7,3.5,0
2018,11,Changi,12,8.5,5
2018,12,Changi,13,11.5,10
2018,13,Changi,6,4.5,3
2018,14,Changi,13,9.5,6
2018,15,Changi,9,7.5,6
2018,16,Changi,5,4.5,4
2018,17,Changi,6,5.5,5
2018,18,Changi,14,11.5,9
2018,19,Changi,13,11.5,10
2018,20,Changi,7,7.0,7
2018,21,Changi,13,8.5,4
2018,22,Changi,15,12.5,10
2018,23,Changi,12,8.5,5
2018,24,Changi,12,10.5,9
2018,25,Changi,12,6.5,1
2018,26,Changi,6,3.5,1
2018,27,Changi,5,3.5,2
2018,28,Changi,2,1.0,0
2018,29,Changi,0,0.0,0
2018,30,Changi,2,1.0,0
2018,31,Changi,3,3.0,3
2018,32,Changi,5,3.5,2
2018,33,Changi,5,2.5,0
2018,34,Changi,4,2.0,0
2018,35,Changi,3,3.0,3
2018,36,Changi,1,0.5,0
2018,37,Changi,2,1.0,0
2018,38,Changi,1,0.5,0
2018,39,Changi,0,0.0,0
2018,40,Changi,2,1.0,0
2018,41,Changi,1,0.5,0
2018,42,Changi,2,1.0,0
2018,43,Changi,2,2.0,2
2018,44,Changi,6,4.0,2
2018,45,Changi,3,3.0,3
2018,46,Changi,10,10.0,10
2018,47,Changi,23,17.5,12
2018,48,Changi,26,21.0,16
2018,49,Changi,20,17.5,15
2018,50,Changi,16,14.5,13
2018,51,Changi,18,13.5,9
2018,52,Changi,39,30.0,17
2019,1,Changi,42,42.0,42
2019,2,Changi,59,51.0,43
2019,3,Changi,78,65.5,53
2019,4,Changi,74,68.5,63
2019,5,Changi,61,61.0,61
2019,14,Changi,13,13.0,13
2019,15,Changi,7,7.0,7
2019,16,Changi,11,11.0,11
2019,17,Changi,9,9.0,9
2019,18,Changi,29,17.5,6
2019,19,Changi,16,16.0,16
2019,20,Changi,79,79.0,79
2019,21,Changi,76,76.0,76
2019,22,Changi,68,68.0,68
2019,23,Changi,85,71.5,58
2019,24,Changi,73,73.0,73
2019,25,Changi,86,86.0,86
2019,26,Changi,147,147.0,147
2019,27,Changi,166,153.0,140
2019,28,Changi,176,176.0,176
2019,29,Changi,207,207.0,207
2019,30,Changi,156,156.0,156
2019,31,Changi,157,157.0,157
2019,32,Changi,123,123.0,123
2019,33,Changi,117,117.0,117
2019,35,Changi,88,88.0,88
2019,36,Changi,59,59.0,59
2019,37,Changi,52,52.0,52
2019,38,Changi,60,60.0,60
2019,39,Changi,66,66.0,66
2019,40,Changi,38,38.0,38
2019,41,Changi,32,32.0,32
2019,42,Changi,48,48.0,48
2019,43,Changi,69,69.0,69
2019,44,Changi,59,59.0,59
2019,45,Changi,38,38.0,38
2019,46,Changi,48,48.0,48
2019,47,Changi,66,66.0,66
2019,48,Changi,52,52.0,52
2019,49,Changi,34,34.0,34
2019,50,Changi,26,26.0,26
2019,51,Changi,33,33.0,33
2019,52,Changi,17,17.0,17
