Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,3,4,0.0,0.0,0.0,0.0,27.7,31.2,24.9,7.2,26.6
Tuas South,2014,3,5,0.0,0.0,0.0,0.0,28.2,33.0,25.0,8.0,27.0
Tuas South,2014,3,6,0.0,0.0,0.0,0.0,28.0,32.5,24.2,6.5,25.6
Tuas South,2014,3,7,0.0,0.0,0.0,0.0,28.1,32.3,24.6,7.0,24.8
Tuas South,2014,3,8,0.0,0.0,0.0,0.0,28.1,33.4,25.4,7.3,23.8
Tuas South,2014,3,9,0.0,0.0,0.0,0.0,28.2,33.0,24.9,8.4,25.9
Tuas South,2014,3,10,0.0,0.0,0.0,0.0,28.3,33.0,25.2,8.2,25.9
Tuas South,2014,3,11,0.0,0.0,0.0,0.0,28.5,34.3,25.0,8.9,27.0
Tuas South,2014,3,12,0.0,0.0,0.0,0.0,28.5,33.1,25.5,9.0,25.9
Tuas South,2014,3,13,0.0,0.0,0.0,0.0,28.6,32.9,25.4,7.5,22.0
Tuas South,2014,3,14,0.0,0.0,0.0,0.0,29.0,33.1,25.8,7.8,28.1
Tuas South,2014,3,15,0.0,0.0,0.0,0.0,29.3,33.6,26.1,5.9,32.8
Tuas South,2014,3,16,20.6,8.4,13.0,16.2,26.4,28.1,24.4,5.1,24.1
Tuas South,2014,3,17,5.6,1.8,2.8,3.0,26.1,28.2,25.0,4.6,23.0
Tuas South,2014,3,18,32.6,13.8,13.8,26.2,26.2,29.6,24.5,4.7,24.8
Tuas South,2014,3,19,57.4,30.8,42.0,45.4,26.1,30.0,23.6,5.6,38.2
Tuas South,2014,3,20,6.8,5.2,5.8,6.6,27.1,30.8,25.2,5.9,27.0
Tuas South,2014,3,21,7.4,6.4,7.4,7.4,27.3,29.5,24.8,7.1,21.6
Tuas South,2014,3,22,0.0,0.0,0.0,0.0,27.8,31.6,25.0,5.8,21.2
Tuas South,2014,3,23,0.0,0.0,0.0,0.0,28.7,34.5,24.7,6.9,24.1
Tuas South,2014,3,24,0.0,0.0,0.0,0.0,28.6,34.0,25.5,6.9,25.9
Tuas South,2014,3,25,0.0,0.0,0.0,0.0,28.6,32.8,25.6,7.7,24.8
Tuas South,2014,3,26,6.6,6.2,6.6,6.6,28.0,32.6,26.1,5.8,23.8
Tuas South,2014,3,27,5.6,5.6,5.6,5.6,28.8,32.6,25.8,6.2,22.0
Tuas South,2014,3,28,0.0,0.0,0.0,0.0,29.1,33.2,26.4,4.4,22.0
Tuas South,2014,3,29,0.0,0.0,0.0,0.0,28.6,32.7,26.7,4.7,22.0
Tuas South,2014,3,30,0.0,0.0,0.0,0.0,29.2,32.6,26.7,4.6,22.0
Tuas South,2014,3,31,0.0,0.0,0.0,0.0,28.8,33.0,27.2,3.6,22.7
Tuas South,2014,4,1,2.2,1.6,2.0,2.0,28.1,31.1,25.9,5.6,26.3
Tuas South,2014,4,2,7.8,5.8,7.8,7.8,28.5,31.2,25.5,5.8,19.1
Tuas South,2014,4,3,0.0,0.0,0.0,0.0,29.5,34.2,27.3,5.3,25.9
Tuas South,2014,4,4,0.0,0.0,0.0,0.0,28.1,30.8,26.0,6.7,18.0
Tuas South,2014,4,5,23.2,12.0,14.6,17.2,26.9,28.7,24.2,9.4,37.8
Tuas South,2014,4,6,0.0,0.0,0.0,0.0,29.0,33.2,26.1,7.2,22.3
Tuas South,2014,4,7,0.0,0.0,0.0,0.0,29.0,33.2,26.3,6.9,25.9
Tuas South,2014,4,8,0.0,0.0,0.0,0.0,28.2,31.0,26.4,8.9,32.8
Tuas South,2014,4,9,0.0,0.0,0.0,0.0,28.3,31.1,25.7,7.1,27.0
Tuas South,2014,4,10,10.8,10.6,10.6,10.8,27.9,31.8,24.5,5.5,29.2
Tuas South,2014,4,11,0.0,0.0,0.0,0.0,28.5,32.1,26.5,7.6,28.1
Tuas South,2014,4,12,4.2,4.0,4.2,4.2,27.5,29.6,24.3,5.1,31.7
Tuas South,2014,4,13,5.4,4.4,5.4,5.4,28.2,31.1,25.3,6.6,28.8
Tuas South,2014,4,14,0.0,0.0,0.0,0.0,28.6,33.0,26.3,5.4,26.3
Tuas South,2014,4,15,0.4,0.4,0.4,0.4,28.5,31.7,26.5,6.7,22.7
Tuas South,2014,4,16,0.0,0.0,0.0,0.0,28.3,30.6,26.5,6.7,24.5
Tuas South,2014,4,17,0.0,0.0,0.0,0.0,28.8,31.2,26.8,5.1,23.8
Tuas South,2014,4,18,0.4,0.4,0.4,0.4,28.4,30.2,26.5,5.6,37.8
Tuas South,2014,4,19,0.0,0.0,0.0,0.0,28.9,31.7,26.1,5.2,22.0
Tuas South,2014,4,20,0.8,0.8,0.8,0.8,28.2,30.3,25.6,4.4,34.6
Tuas South,2014,4,21,2.2,1.6,2.0,2.2,27.2,29.0,26.2,6.2,42.8
Tuas South,2014,4,22,1.4,1.2,1.4,1.4,27.8,32.0,25.9,5.1,25.6
Tuas South,2014,4,23,1.4,1.2,1.4,1.4,28.4,32.1,25.8,4.7,26.6
Tuas South,2014,4,24,7.4,7.2,7.4,7.4,28.1,31.2,25.3,5.7,29.2
Tuas South,2014,4,25,18.2,18.0,18.2,18.2,28.4,31.7,25.2,6.0,21.2
Tuas South,2014,4,26,0.0,0.0,0.0,0.0,28.9,31.1,27.1,5.3,23.8
Tuas South,2014,4,27,3.8,3.4,3.8,3.8,28.3,31.5,25.2,6.0,41.8
Tuas South,2014,4,28,6.8,4.4,5.6,6.4,28.8,31.1,26.2,6.8,37.1
Tuas South,2014,4,29,0.0,0.0,0.0,0.0,28.6,30.3,27.4,6.2,31.3
Tuas South,2014,4,30,0.0,0.0,0.0,0.0,28.8,30.7,27.2,5.6,20.2
Tuas South,2014,5,1,0.4,0.4,0.4,0.4,28.4,30.8,25.3,7.0,61.2
Tuas South,2014,5,2,0.0,0.0,0.0,0.0,30.0,33.4,27.7,6.5,19.8
Tuas South,2014,5,3,2.2,1.6,2.2,2.2,29.6,33.2,27.4,4.7,23.4
Tuas South,2014,5,4,0.0,0.0,0.0,0.0,29.2,33.5,27.1,4.1,22.7
Tuas South,2014,5,5,2.4,2.4,2.4,2.4,29.1,32.6,27.3,4.1,24.8
Tuas South,2014,5,6,1.2,1.2,1.2,1.2,29.2,31.8,26.7,4.2,25.2
Tuas South,2014,5,7,3.0,2.4,3.0,3.0,28.4,32.2,25.4,6.1,22.0
Tuas South,2014,5,8,0.0,0.0,0.0,0.0,27.9,30.3,25.5,5.4,20.2
Tuas South,2014,5,9,0.0,0.0,0.0,0.0,29.0,31.7,27.2,4.0,16.6
Tuas South,2014,5,10,0.0,0.0,0.0,0.0,29.8,33.1,27.7,5.9,31.0
Tuas South,2014,5,11,0.0,0.0,0.0,0.0,28.9,32.1,26.9,5.4,20.5
Tuas South,2014,5,12,0.0,0.0,0.0,0.0,28.5,30.6,26.7,4.5,26.3
Tuas South,2014,5,13,0.0,0.0,0.0,0.0,29.3,32.0,26.3,7.4,22.7
Tuas South,2014,5,14,12.4,7.6,9.6,10.8,28.3,30.2,24.9,9.9,35.6
Tuas South,2014,5,15,0.0,0.0,0.0,0.0,29.5,31.5,27.0,7.0,21.2
Tuas South,2014,5,16,66.8,33.4,50.0,64.8,28.3,30.2,24.0,5.2,44.3
Tuas South,2014,5,17,0.8,0.4,0.6,0.8,28.9,30.6,27.1,7.6,38.9
Tuas South,2014,5,18,4.4,1.6,2.2,2.6,27.4,29.4,24.8,6.8,25.9
Tuas South,2014,5,19,9.8,7.8,8.8,9.2,27.7,30.1,23.3,7.1,30.2
Tuas South,2014,5,20,8.2,4.6,4.6,5.2,28.0,32.4,23.7,5.0,24.8
Tuas South,2014,5,21,0.6,0.6,0.6,0.6,28.4,30.9,25.7,5.3,19.1
Tuas South,2014,5,22,0.0,0.0,0.0,0.0,29.1,32.4,26.7,6.4,27.7
Tuas South,2014,5,23,29.6,17.4,25.6,28.0,27.4,29.8,23.9,4.6,27.4
Tuas South,2014,5,24,0.0,0.0,0.0,0.0,28.7,32.6,25.8,4.1,22.3
Tuas South,2014,5,25,0.2,0.2,0.2,0.2,29.5,32.9,26.9,5.0,21.2
Tuas South,2014,5,26,8.4,8.4,8.4,8.4,28.3,30.6,25.6,3.5,23.8
Tuas South,2014,5,27,8.4,7.6,8.4,8.4,28.0,29.8,25.6,9.0,34.2
