Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,9,26,0.0,0.0,0.0,0.0,28.7,32.3,26.3,5.1,19.8
Tuas South,2014,9,27,0.0,0.0,0.0,0.0,29.3,33.1,26.6,4.5,23.8
Tuas South,2014,9,28,0.0,0.0,0.0,0.0,29.5,32.8,27.1,5.2,22.7
Tuas South,2014,9,29,0.0,0.0,0.0,0.0,29.6,32.8,27.3,5.2,23.0
Tuas South,2014,9,30,0.0,0.0,0.0,0.0,29.6,32.7,26.8,5.5,21.2
Tuas South,2014,10,1,0.0,0.0,0.0,0.0,29.8,33.1,27.0,5.3,23.8
Tuas South,2014,10,2,0.0,0.0,0.0,0.0,29.5,32.3,27.5,5.2,20.5
Tuas South,2014,10,3,0.0,0.0,0.0,0.0,29.8,33.0,27.2,5.5,23.8
Tuas South,2014,10,4,0.0,0.0,0.0,0.0,27.9,29.3,25.4,9.5,38.2
Tuas South,2014,10,5,0.8,0.8,0.8,0.8,27.3,29.6,24.7,7.2,25.6
Tuas South,2014,10,6,0.0,0.0,0.0,0.0,28.6,31.2,25.8,6.2,25.2
Tuas South,2014,10,7,0.2,0.2,0.2,0.2,29.6,32.2,27.7,5.9,25.9
Tuas South,2014,10,8,0.0,0.0,0.0,0.0,29.3,30.8,27.2,5.8,19.1
Tuas South,2014,10,9,0.0,0.0,0.0,0.0,29.9,33.3,28.0,4.9,24.5
Tuas South,2014,10,10,0.0,0.0,0.0,0.0,30.3,33.2,28.2,5.3,22.3
Tuas South,2014,10,11,0.0,0.0,0.0,0.0,29.3,32.8,27.5,5.1,32.0
Tuas South,2014,10,12,0.0,0.0,0.0,0.0,28.8,31.8,26.4,4.9,17.6
Tuas South,2014,10,13,0.0,0.0,0.0,0.0,28.8,30.9,26.9,6.7,23.4
Tuas South,2014,10,14,1.0,1.0,1.0,1.0,28.3,32.2,26.3,4.2,19.4
Tuas South,2014,10,15,10.6,9.8,10.2,10.2,27.8,30.2,24.9,5.1,20.2
Tuas South,2014,10,16,0.6,0.6,0.6,0.6,28.3,31.8,26.7,3.2,23.4
Tuas South,2014,10,17,7.0,5.0,5.2,6.4,27.9,31.2,26.2,3.4,23.0
Tuas South,2014,10,18,5.0,4.2,4.4,4.4,27.3,29.9,24.1,6.7,28.8
Tuas South,2014,10,19,0.0,0.0,0.0,0.0,28.0,31.2,25.7,6.8,26.3
Tuas South,2014,10,20,0.0,0.0,0.0,0.0,29.0,33.1,26.2,5.0,24.8
Tuas South,2014,10,21,69.8,31.2,56.2,60.0,26.8,30.2,22.9,4.5,23.0
Tuas South,2014,10,22,3.0,1.0,2.0,3.0,26.8,28.8,25.4,3.9,17.6
Tuas South,2014,10,23,0.0,0.0,0.0,0.0,28.2,31.1,25.6,6.0,18.7
Tuas South,2014,10,24,0.0,0.0,0.0,0.0,29.4,33.1,26.1,5.2,19.8
Tuas South,2014,10,25,0.0,0.0,0.0,0.0,29.5,33.2,26.7,5.6,18.0
Tuas South,2014,10,26,0.0,0.0,0.0,0.0,29.0,33.2,27.6,3.5,22.0
Tuas South,2014,10,27,1.6,1.6,1.6,1.6,28.1,31.4,25.6,4.0,47.2
Tuas South,2014,10,28,0.0,0.0,0.0,0.0,28.6,30.7,26.1,6.6,23.4
Tuas South,2014,10,29,0.0,0.0,0.0,0.0,29.8,33.6,26.7,5.1,21.6
Tuas South,2014,10,30,7.4,7.2,7.2,7.2,28.8,33.5,26.6,5.4,18.7
Tuas South,2014,10,31,0.0,0.0,0.0,0.0,28.4,30.9,26.3,6.7,24.8
Tuas South,2014,11,1,1.6,1.6,1.6,1.6,28.6,30.7,26.2,8.8,20.5
Tuas South,2014,11,2,2.6,2.4,2.4,2.4,29.2,31.4,27.2,6.0,16.6
Tuas South,2014,11,3,0.0,0.0,0.0,0.0,30.1,32.9,27.3,6.2,23.4
Tuas South,2014,11,4,3.8,3.6,3.6,3.8,30.3,33.8,27.6,4.5,24.5
Tuas South,2014,11,5,1.6,0.8,1.0,1.4,28.0,31.9,25.7,4.7,41.4
Tuas South,2014,11,6,0.2,0.2,0.2,0.2,27.2,30.5,25.2,7.6,31.0
Tuas South,2014,11,7,0.0,0.0,0.0,0.0,27.9,30.3,25.3,7.6,24.5
Tuas South,2014,11,8,31.4,19.6,25.8,27.0,27.9,31.0,25.1,8.5,37.1
Tuas South,2014,11,9,18.0,10.2,12.0,14.6,27.9,31.0,24.4,8.1,44.3
Tuas South,2014,11,10,25.4,22.8,25.4,25.4,27.3,29.7,23.5,4.3,19.1
Tuas South,2014,11,11,5.0,2.4,2.4,2.6,26.6,28.9,25.5,3.4,24.8
Tuas South,2014,11,12,0.0,0.0,0.0,0.0,27.4,30.6,25.0,4.7,22.7
Tuas South,2014,11,13,0.0,0.0,0.0,0.0,27.7,31.2,25.7,7.6,31.0
Tuas South,2014,11,14,11.4,8.4,8.8,8.8,27.5,31.5,24.2,7.7,43.2
Tuas South,2014,11,15,0.0,0.0,0.0,0.0,27.4,31.0,25.2,7.7,26.3
Tuas South,2014,11,16,0.0,0.0,0.0,0.0,27.3,29.9,25.9,5.6,19.8
Tuas South,2014,11,17,11.4,11.0,11.2,11.2,26.9,30.7,24.3,6.2,23.8
Tuas South,2014,11,18,4.0,1.2,1.8,2.2,26.0,27.4,25.1,5.0,18.4
Tuas South,2014,11,19,0.0,0.0,0.0,0.0,27.8,31.5,25.4,6.2,21.2
Tuas South,2014,11,20,3.8,3.2,3.6,3.6,27.6,32.2,26.2,5.2,19.8
Tuas South,2014,11,21,0.2,0.2,0.2,0.2,27.9,30.4,26.1,4.6,14.0
Tuas South,2014,11,22,3.0,1.6,1.6,1.6,27.8,30.5,26.2,2.9,16.6
Tuas South,2014,11,23,50.0,46.4,47.8,48.0,27.0,31.2,23.9,4.8,25.6
Tuas South,2014,11,24,2.8,0.8,1.2,1.6,27.2,29.3,25.9,5.5,21.6
Tuas South,2014,11,25,5.8,5.2,5.8,5.8,27.6,30.3,26.0,5.7,24.5
Tuas South,2014,11,26,4.2,2.8,3.8,4.2,27.6,31.4,25.4,8.1,33.5
Tuas South,2014,11,27,12.4,12.2,12.4,12.4,27.7,32.3,24.2,6.0,29.5
Tuas South,2014,11,28,25.0,24.0,25.0,25.0,27.9,31.8,23.3,5.9,35.6
Tuas South,2014,11,29,0.0,0.0,0.0,0.0,26.8,29.4,25.5,6.3,25.6
Tuas South,2014,11,30,0.0,0.0,0.0,0.0,28.0,30.0,25.1,5.1,16.2
Tuas South,2014,12,1,23.2,16.6,17.8,18.2,26.7,28.2,22.8,6.5,28.8
Tuas South,2014,12,2,0.0,0.0,0.0,0.0,28.2,30.4,25.9,6.5,58.3
Tuas South,2014,12,3,0.0,0.0,0.0,0.0,29.2,32.4,26.6,6.3,22.3
Tuas South,2014,12,4,58.4,19.0,29.6,32.6,26.6,28.7,24.3,7.8,38.9
Tuas South,2014,12,5,0.0,0.0,0.0,0.0,28.4,31.4,25.3,4.4,16.6
Tuas South,2014,12,6,9.6,6.6,9.2,9.4,27.3,29.5,24.5,6.8,50.0
Tuas South,2014,12,7,9.6,5.8,7.6,8.0,27.2,32.5,24.5,7.2,40.0
Tuas South,2014,12,8,0.0,0.0,0.0,0.0,27.5,30.5,25.1,5.6,18.4
Tuas South,2014,12,9,0.0,0.0,0.0,0.0,28.4,32.4,25.5,6.9,22.0
Tuas South,2014,12,10,1.8,1.8,1.8,1.8,28.5,32.7,26.2,5.6,20.5
Tuas South,2014,12,11,0.0,0.0,0.0,0.0,27.5,31.5,25.9,4.5,27.4
Tuas South,2014,12,12,20.6,11.0,19.6,20.4,27.7,32.9,25.3,5.8,34.9
Tuas South,2014,12,13,38.6,28.2,29.6,30.6,27.0,31.5,24.7,5.0,27.4
Tuas South,2014,12,14,7.8,6.8,7.8,7.8,27.8,32.5,25.5,5.7,32.0
Tuas South,2014,12,15,0.2,0.2,0.2,0.2,28.2,31.7,25.8,6.6,34.2
Tuas South,2014,12,16,0.0,0.0,0.0,0.0,27.2,30.0,25.1,5.6,18.4
Tuas South,2014,12,17,57.4,36.8,51.0,57.4,26.2,30.2,23.2,6.0,27.4
Tuas South,2014,12,18,4.4,3.2,3.8,4.2,27.2,32.8,25.2,6.5,22.7
Tuas South,2014,12,19,10.4,2.0,3.6,5.6,25.5,26.2,24.5,5.4,22.0
Tuas South,2014,12,20,1.0,0.6,0.6,1.0,27.2,31.6,25.2,5.9,27.7
Tuas South,2014,12,21,7.4,5.8,7.0,7.2,27.0,31.7,24.8,6.0,35.6
Tuas South,2014,12,22,0.0,0.0,0.0,0.0,26.9,29.8,25.4,6.9,28.8
Tuas South,2014,12,23,1.0,1.0,1.0,1.0,26.2,28.2,24.7,9.4,36.7
Tuas South,2014,12,24,0.8,0.8,0.8,0.8,26.6,30.1,24.8,7.0,25.9
Tuas South,2014,12,25,0.0,0.0,0.0,0.0,27.3,30.1,25.7,6.0,19.1
Tuas South,2014,12,26,13.8,2.6,4.6,7.6,25.5,27.7,24.0,6.2,24.5
Tuas South,2014,12,27,14.6,6.2,7.4,10.2,26.0,30.6,24.4,6.6,25.6
Tuas South,2014,12,28,1.2,0.8,1.2,1.2,26.5,29.4,24.5,6.9,26.6
Tuas South,2014,12,29,2.8,1.0,1.4,2.4,25.8,28.3,24.4,9.9,44.3
Tuas South,2014,12,30,0.0,0.0,0.0,0.0,25.5,26.9,24.6,6.7,26.3
Tuas South,2014,12,31,0.0,0.0,0.0,0.0,26.7,29.2,24.9,6.9,21.6
Tuas South,2015,1,1,0.2,0.2,0.2,0.2,26.3,27.5,24.8,6.5,20.9
Tuas South,2015,1,2,0.0,0.0,0.0,0.0,27.2,30.1,24.8,7.6,24.5
Tuas South,2015,1,3,0.2,0.2,0.2,0.2,27.6,31.8,24.9,6.6,21.6
Tuas South,2015,1,4,0.0,0.0,0.0,0.0,28.0,31.8,25.1,7.4,25.2
Tuas South,2015,1,5,0.0,0.0,0.0,0.0,27.8,31.6,25.0,7.5,22.7
Tuas South,2015,1,6,3.0,2.8,2.8,2.8,27.4,32.1,25.7,7.5,27.4
Tuas South,2015,1,7,0.0,0.0,0.0,0.0,27.0,29.8,25.5,6.1,23.8
Tuas South,2015,1,8,3.8,2.8,3.4,3.6,26.2,29.0,24.5,7.3,29.2
Tuas South,2015,1,9,3.0,1.2,2.0,2.6,25.4,27.5,24.3,7.4,20.9
Tuas South,2015,1,10,0.0,0.0,0.0,0.0,26.7,31.1,23.6,8.1,26.3
Tuas South,2015,1,11,22.6,12.2,13.0,13.2,26.7,31.0,24.4,6.1,26.3
Tuas South,2015,1,12,0.2,0.2,0.2,0.2,27.8,31.6,25.6,7.8,25.6
Tuas South,2015,1,13,0.0,0.0,0.0,0.0,28.0,32.2,25.3,8.1,23.4
Tuas South,2015,1,14,0.0,0.0,0.0,0.0,27.9,32.6,25.4,7.6,24.5
Tuas South,2015,1,15,0.0,0.0,0.0,0.0,27.9,32.6,25.2,8.6,24.5
Tuas South,2015,1,16,0.0,0.0,0.0,0.0,27.6,32.1,24.5,7.6,22.3
Tuas South,2015,1,17,0.0,0.0,0.0,0.0,27.5,32.3,24.6,7.9,21.6
Tuas South,2015,1,18,0.0,0.0,0.0,0.0,27.4,31.8,24.5,8.3,24.8
Tuas South,2015,1,19,3.2,2.6,3.0,3.2,27.2,32.0,24.7,7.8,24.5
Tuas South,2015,1,20,0.0,0.0,0.0,0.0,27.3,32.2,24.7,8.0,24.8
Tuas South,2015,1,21,0.0,0.0,0.0,0.0,26.9,31.6,25.3,6.8,23.0
Tuas South,2015,1,22,0.0,0.0,0.0,0.0,27.3,31.7,24.9,7.2,27.7
Tuas South,2015,1,23,0.0,0.0,0.0,0.0,27.1,31.1,24.3,7.0,24.5
Tuas South,2015,1,24,22.4,19.0,22.4,22.4,27.0,31.2,24.0,6.0,24.8
Tuas South,2015,1,25,16.0,13.0,15.8,16.0,26.8,31.0,24.0,6.3,21.2
Tuas South,2015,1,26,0.0,0.0,0.0,0.0,27.3,31.5,25.1,6.5,22.3
Tuas South,2015,1,27,0.0,0.0,0.0,0.0,27.5,31.8,24.8,6.9,21.2
Tuas South,2015,1,28,0.8,0.6,0.6,0.8,27.2,31.9,24.3,6.7,20.9
Tuas South,2015,1,29,0.0,0.0,0.0,0.0,27.2,30.0,25.5,7.2,21.6
Tuas South,2015,1,30,1.2,1.2,1.2,1.2,26.8,31.4,24.5,5.3,20.5
Tuas South,2015,1,31,0.0,0.0,0.0,0.0,27.5,31.6,25.3,7.4,24.1
Tuas South,2015,2,1,0.0,0.0,0.0,0.0,27.1,31.9,24.2,7.5,32
Tuas South,2015,2,2,4.4,2.2,2.2,3.4,26.1,29.3,25,5.9,22.7
Tuas South,2015,2,3,0.2,0.2,0.2,0.2,26.4,29.6,24.4,7.6,23.4
Tuas South,2015,2,4,0.6,0.6,0.6,0.6,26.1,28.6,23.9,7,26.6
Tuas South,2015,2,5,0.0,0.0,0.0,0.0,27.2,30.9,24.8,8.2,28.4
Tuas South,2015,2,6,29.4,10.4,13.8,24.2,25.9,28.9,23.7,6.3,28.4
Tuas South,2015,2,7,0.0,0.0,0.0,0.0,26.6,29.4,24.7,7.5,25.9
Tuas South,2015,2,8,0.0,0.0,0.0,0.0,26.7,31.1,23.9,6.6,25.6
Tuas South,2015,2,9,0.0,0.0,0.0,0.0,27.1,31.7,24.6,8.1,28.1
Tuas South,2015,2,10,0.0,0.0,0.0,0.0,,,,,
Tuas South,2015,2,11,0.0,0.0,0.0,0.0,,,,,
Tuas South,2015,2,12,0.0,0.0,0.0,0.0,,,,,
Tuas South,2015,2,13,0.0,0.0,0.0,0.0,,,,7.6,
Tuas South,2015,2,14,0.0,0.0,0.0,0.0,27.4,31.8,24.3,6.4,19.4
Tuas South,2015,2,15,0.0,0.0,0.0,0.0,27.7,31.9,24.2,5.8,22
Tuas South,2015,2,16,0.0,0.0,0.0,0.0,28.2,32.8,24.9,6.4,22.7
Tuas South,2015,2,17,0.0,0.0,0.0,0.0,28.2,33.5,25.1,6.6,23.4
Tuas South,2015,2,18,24.2,10.8,12.4,14.4,26.7,32,24.7,6.8,27
Tuas South,2015,2,19,26.4,7.0,11.8,21.4,26.6,30.5,23.6,8.4,46.8
Tuas South,2015,2,20,0.0,0.0,0.0,0.0,27.8,31.4,25.4,7.2,24.1
Tuas South,2015,2,21,0.0,0.0,0.0,0.0,27.9,31.7,24.7,5.5,24.1
Tuas South,2015,2,22,0.0,0.0,0.0,0.0,27.8,32,24.7,7,22.7
Tuas South,2015,2,23,0.0,0.0,0.0,0.0,27.6,32.4,25.4,7.6,24.8
Tuas South,2015,2,24,0.0,0.0,0.0,0.0,27.9,30.5,25.6,5.5,25.2
Tuas South,2015,2,25,1.6,1.2,1.4,1.6,27.5,32.3,23.2,4.9,29.5
Tuas South,2015,2,26,0.2,0.2,0.2,0.2,27.8,31.4,25.1,3.8,21.6
Tuas South,2015,2,27,0.0,0.0,0.0,0.0,28.5,32.8,22.1,6.3,25.6
Tuas South,2015,2,28,0.0,0.0,0.0,0.0,29.2,35.2,25.6,6.9,24.5
Tuas South,2015,3,1,0.6,0.6,0.6,0.6,28.1,33.9,25.6,7.2,23.4
Tuas South,2015,3,2,16.2,7.2,13.6,16.2,26.7,32.4,22.7,6.2,44.3
Tuas South,2015,3,3,0.0,0.0,0.0,0.0,27.8,31.0,25.6,6.8,23.0
Tuas South,2015,3,4,0.0,0.0,0.0,0.0,28.2,30.8,26.3,7.3,32.0
Tuas South,2015,3,5,0.0,0.0,0.0,0.0,28.4,32.5,25.7,5.7,24.8
Tuas South,2015,3,6,0.0,0.0,0.0,0.0,28.2,32.2,25.2,6.3,21.2
Tuas South,2015,3,7,0.0,0.0,0.0,0.0,29.1,33.7,26.2,5.9,22.7
Tuas South,2015,3,8,0.0,0.0,0.0,0.0,28.1,31.2,26.0,6.3,22.7
Tuas South,2015,3,9,84.2,39.0,64.6,70.8,26.8,32.4,22.8,6.3,45.7
Tuas South,2015,3,10,0.0,0.0,0.0,0.0,27.4,32.9,24.9,5.1,23.0
Tuas South,2015,3,11,6.2,1.6,2.6,4.2,26.0,27.8,24.6,6.3,24.1
Tuas South,2015,3,12,0.0,0.0,0.0,0.0,27.8,31.7,25.4,6.3,23.8
Tuas South,2015,3,13,0.0,0.0,0.0,0.0,28.0,32.6,24.9,7.3,20.9
Tuas South,2015,3,14,5.0,4.6,5.0,5.0,27.9,34.1,25.2,7.2,20.2
Tuas South,2015,3,15,44.0,34.2,41.6,43.8,27.2,32.5,22.6,5.7,40.7
Tuas South,2015,3,16,0.0,0.0,0.0,0.0,28.2,32.0,25.8,5.4,21.6
Tuas South,2015,3,17,0.0,0.0,0.0,0.0,28.8,32.5,26.5,4.8,19.8
Tuas South,2015,3,18,0.0,0.0,0.0,0.0,28.9,32.7,26.4,4.9,20.2
Tuas South,2015,3,19,0.0,0.0,0.0,0.0,29.0,32.1,26.9,4.1,19.1
Tuas South,2015,3,20,0.0,0.0,0.0,0.0,29.1,32.5,26.4,4.6,18.7
Tuas South,2015,3,21,0.0,0.0,0.0,0.0,28.6,32.0,26.3,4.0,23.4
Tuas South,2015,3,22,5.4,2.8,5.0,5.4,27.4,32.5,25.1,3.9,25.6
Tuas South,2015,3,23,0.0,0.0,0.0,0.0,28.8,33.0,25.7,4.8,19.4
Tuas South,2015,3,24,0.0,0.0,0.0,0.0,28.6,31.8,26.6,4.4,22.7
Tuas South,2015,3,25,0.0,0.0,0.0,0.0,29.7,34.8,27.0,6.2,25.6
Tuas South,2015,3,26,0.8,0.8,0.8,0.8,28.8,32.3,26.8,6.7,26.3
Tuas South,2015,3,27,0.0,0.0,0.0,0.0,29.3,33.5,26.3,5.6,27.0
Tuas South,2015,3,28,17.2,17.2,17.2,17.2,28.1,31.9,25.6,5.5,37.4
Tuas South,2015,3,29,12.6,8.2,9.6,11.4,26.9,29.5,24.1,3.3,25.9
Tuas South,2015,3,30,0.0,0.0,0.0,0.0,28.7,33.2,25.9,4.1,20.9
Tuas South,2015,3,31,33.0,26.2,28.0,28.2,27.2,29.6,23.7,5.1,30.2
Tuas South,2015,4,1,1.0,0.8,1.0,1.0,27.0,30.6,25.6,5.8,20.9
Tuas South,2015,4,2,27.2,19.4,25.6,27.0,26.8,31.1,23.8,6.6,36.4
Tuas South,2015,4,3,0.0,0.0,0.0,0.0,27.9,30.8,25.8,6.9,22.7
Tuas South,2015,4,4,13.0,11.4,11.4,11.6,28.8,33.5,26.1,4.7,31.3
Tuas South,2015,4,5,0.0,0.0,0.0,0.0,28.3,30.9,26.9,4.2,23.4
Tuas South,2015,4,6,0.0,0.0,0.0,0.0,28.8,31.9,26.8,6.0,24.1
Tuas South,2015,4,7,30.4,28.6,30.4,30.4,28.3,34.2,24.0,5.0,34.6
Tuas South,2015,4,8,0.8,0.8,0.8,0.8,28.7,32.1,26.6,5.6,21.2
Tuas South,2015,4,9,0.0,0.0,0.0,0.0,29.5,34.1,26.9,4.7,26.3
Tuas South,2015,4,10,0.0,0.0,0.0,0.0,29.4,32.3,27.3,3.9,19.8
Tuas South,2015,4,11,0.0,0.0,0.0,0.0,27.7,30.9,26.3,4.1,16.2
Tuas South,2015,4,12,0.8,0.8,0.8,0.8,28.1,33.2,26.0,4.4,23.0
Tuas South,2015,4,13,0.0,0.0,0.0,0.0,28.8,31.7,26.3,5.5,22.3
Tuas South,2015,4,14,0.0,0.0,0.0,0.0,29.5,33.5,26.5,4.1,21.2
Tuas South,2015,4,15,24.2,13.8,16.8,24.2,28.4,32.2,25.1,4.1,37.4
Tuas South,2015,4,16,0.2,0.2,0.2,0.2,29.8,34.1,26.7,3.6,20.9
Tuas South,2015,4,17,0.6,0.4,0.4,0.6,28.5,32.1,25.7,4.2,25.2
Tuas South,2015,4,18,0.0,0.0,0.0,0.0,29.2,31.7,27.4,4.6,18.7
Tuas South,2015,4,19,48.8,22.0,35.0,48.4,28.1,30.9,22.8,6.3,33.1
Tuas South,2015,4,20,0.0,0.0,0.0,0.0,28.9,32.1,26.7,4.9,16.6
Tuas South,2015,4,21,1.4,1.2,1.2,1.4,28.5,31.9,25.3,5.6,30.2
Tuas South,2015,4,22,13.0,10.4,10.8,12.6,28.1,31.9,24.8,8.3,33.1
Tuas South,2015,4,23,12.0,9.0,11.2,12.0,27.8,32.3,24.1,6.5,27.0
Tuas South,2015,4,24,5.4,4.8,5.0,5.4,27.6,31.3,24.5,7.2,26.3
Tuas South,2015,4,25,22.0,15.6,16.2,16.4,27.2,31.4,24.3,4.7,37.1
Tuas South,2015,4,26,22.0,21.4,21.6,21.6,27.4,31.2,25.8,4.7,25.2
Tuas South,2015,4,27,0.0,0.0,0.0,0.0,27.9,30.8,26.2,5.6,24.1
Tuas South,2015,4,28,1.8,1.0,1.0,1.0,27.8,32.1,25.2,5.3,25.2
Tuas South,2015,4,29,0.0,0.0,0.0,0.0,28.8,32.2,25.9,4.7,18.4
Tuas South,2015,4,30,0.4,0.2,0.2,0.2,28.2,31.6,26.1,7.6,35.3
Tuas South,2015,5,1,0.0,0.0,0.0,0.0,28.6,32.0,26.5,5.3,22.3
Tuas South,2015,5,2,0.2,0.2,0.2,0.2,28.2,30.4,25.9,5.4,26.3
Tuas South,2015,5,3,45.6,23.2,33.2,37.6,27.6,29.4,25.1,9.9,42.8
Tuas South,2015,5,4,0.0,0.0,0.0,0.0,28.9,31.8,26.9,7.1,22.0
Tuas South,2015,5,5,0.0,0.0,0.0,0.0,29.3,33.6,26.2,5.1,18.7
Tuas South,2015,5,6,0.4,0.2,0.2,0.2,29.0,31.1,26.8,5.0,17.6
Tuas South,2015,5,7,0.0,0.0,0.0,0.0,29.5,33.0,28.0,3.9,20.2
Tuas South,2015,5,8,0.0,0.0,0.0,0.0,28.7,31.6,27.4,7.1,28.1
Tuas South,2015,5,9,0.0,0.0,0.0,0.0,29.3,32.6,27.1,7.9,24.1
Tuas South,2015,5,10,0.0,0.0,0.0,0.0,29.9,32.9,28.3,4.3,22.0
Tuas South,2015,5,11,0.0,0.0,0.0,0.0,30.7,34.4,28.3,3.6,19.8
Tuas South,2015,5,12,0.0,0.0,0.0,0.0,30.0,32.4,28.5,4.6,25.2
Tuas South,2015,5,13,0.0,0.0,0.0,0.0,29.6,32.7,27.5,5.9,27.7
Tuas South,2015,5,14,2.8,2.8,2.8,2.8,29.3,32.7,26.3,4.7,19.4
Tuas South,2015,5,15,1.8,0.8,1.4,1.6,27.6,28.5,26.2,4.4,23.8
Tuas South,2015,5,16,0.0,0.0,0.0,0.0,28.8,31.3,27.0,4.8,25.9
Tuas South,2015,5,17,0.0,0.0,0.0,0.0,29.8,32.7,27.8,5.3,20.5
Tuas South,2015,5,18,18.4,10.2,15.8,18.2,28.5,30.7,25.7,4.5,39.2
Tuas South,2015,5,19,0.0,0.0,0.0,0.0,29.7,33.1,27.2,5.6,23.0
Tuas South,2015,5,20,6.4,6.4,6.4,6.4,29.4,32.2,27.0,6.2,24.8
Tuas South,2015,5,21,0.0,0.0,0.0,0.0,29.9,33.4,27.0,4.6,23.0
Tuas South,2015,5,22,1.2,1.0,1.0,1.2,29.2,31.1,28.6,5.2,25.9
Tuas South,2015,5,23,4.2,1.0,1.8,3.0,27.3,28.8,25.4,6.5,25.2
Tuas South,2015,5,24,0.0,0.0,0.0,0.0,29.1,31.8,26.6,4.9,21.6
Tuas South,2015,5,25,1.0,1.0,1.0,1.0,29.0,31.5,27.6,4.7,28.8
Tuas South,2015,5,26,0.0,0.0,0.0,0.0,29.4,32.7,27.0,5.6,27.0
Tuas South,2015,5,27,0.0,0.0,0.0,0.0,28.7,31.9,26.4,6.1,28.4
Tuas South,2015,5,28,0.0,0.0,0.0,0.0,29.5,32.7,26.8,6.2,23.8
Tuas South,2015,5,29,0.0,0.0,0.0,0.0,30.5,33.1,28.8,5.1,26.3
Tuas South,2015,5,30,0.0,0.0,0.0,0.0,30.5,34.2,28.7,4.9,25.9
Tuas South,2015,5,31,1.8,1.8,1.8,1.8,29.7,33.4,27.0,5.4,22.7
Tuas South,2015,6,1,0.0,0.0,0.0,0.0,29.7,33.3,26.9,5.3,22.0
Tuas South,2015,6,2,1.4,1.2,1.4,1.4,29.5,34.3,25.7,5.7,31.0
Tuas South,2015,6,3,0.0,0.0,0.0,0.0,28.8,32.4,25.9,7.2,21.2
Tuas South,2015,6,4,0.0,0.0,0.0,0.0,29.7,33.3,27.7,5.1,23.4
Tuas South,2015,6,5,0.0,0.0,0.0,0.0,29.3,33.0,26.8,5.2,22.7
Tuas South,2015,6,6,2.2,2.0,2.0,2.2,28.2,31.2,26.9,3.4,21.6
Tuas South,2015,6,7,7.0,6.4,6.6,6.8,28.5,30.5,27.1,10.1,27.0
Tuas South,2015,6,8,2.6,2.2,2.6,2.6,28.9,31.4,27.0,7.2,24.5
Tuas South,2015,6,9,3.6,2.2,3.4,3.6,27.8,28.9,25.8,9.3,36.0
Tuas South,2015,6,10,0.0,0.0,0.0,0.0,29.7,32.7,28.2,7.7,20.5
Tuas South,2015,6,11,4.6,4.4,4.4,4.4,28.8,32.4,26.0,5.7,28.4
Tuas South,2015,6,12,5.2,3.0,3.6,3.6,27.3,29.6,25.5,4.5,40.7
Tuas South,2015,6,13,0.2,0.2,0.2,0.2,28.4,29.7,26.8,8.0,21.2
Tuas South,2015,6,14,27.4,10.8,17.8,22.4,27.0,28.1,24.8,9.0,34.2
Tuas South,2015,6,15,0.0,0.0,0.0,0.0,28.5,30.1,27.0,8.4,24.8
Tuas South,2015,6,16,12.6,11.2,11.8,11.8,27.5,30.0,23.2,6.5,32.8
Tuas South,2015,6,17,0.0,0.0,0.0,0.0,28.8,31.2,27.7,3.8,21.2
Tuas South,2015,6,18,0.0,0.0,0.0,0.0,29.7,32.4,27.7,5.2,23.0
Tuas South,2015,6,19,0.0,0.0,0.0,0.0,29.6,31.9,28.1,5.9,26.3
Tuas South,2015,6,20,0.0,0.0,0.0,0.0,29.9,32.4,28.3,6.0,27.7
Tuas South,2015,6,21,0.0,0.0,0.0,0.0,30.2,32.7,28.4,5.2,28.8
Tuas South,2015,6,22,0.0,0.0,0.0,0.0,30.3,33.1,28.5,5.8,28.1
Tuas South,2015,6,23,0.0,0.0,0.0,0.0,30.3,32.9,28.4,5.9,49.3
Tuas South,2015,6,24,1.0,1.0,1.0,1.0,30.0,32.5,28.0,5.7,24.1
Tuas South,2015,6,25,0.0,0.0,0.0,0.0,30.1,32.7,28.3,5.7,26.6
Tuas South,2015,6,26,0.0,0.0,0.0,0.0,30.0,32.8,28.2,5.1,25.2
Tuas South,2015,6,27,0.0,0.0,0.0,0.0,30.1,32.9,28.1,5.4,28.4
Tuas South,2015,6,28,0.0,0.0,0.0,0.0,30.2,32.9,28.3,6.0,28.8
Tuas South,2015,6,29,0.0,0.0,0.0,0.0,30.3,33.2,28.2,5.1,23.0
Tuas South,2015,6,30,0.0,0.0,0.0,0.0,30.2,33.5,27.9,5.2,21.6
Tuas South,2015,7,1,12.2,10.8,12.0,12.0,28.6,30.2,23.7,4.5,23.0
Tuas South,2015,7,2,0.0,0.0,0.0,0.0,29.3,31.4,27.9,5.8,27.7
Tuas South,2015,7,3,1.8,1.6,1.6,1.8,29.5,32.0,28.0,6.5,29.2
Tuas South,2015,7,4,16.6,11.8,15.2,16.4,27.6,29.3,23.4,6.6,51.1
Tuas South,2015,7,5,0.0,0.0,0.0,0.0,29.4,32.5,27.2,6.0,22.7
Tuas South,2015,7,6,0.0,0.0,0.0,0.0,29.8,32.0,28.1,5.4,33.5
