Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2014,3,11,10,0,0,0,0,27.8,32.2,25.5,10.9,37.1
Marina Barrage,2014,3,11,11,0,0,0,0,28.5,33.5,25.7,12.6,34.9
Marina Barrage,2014,3,11,12,0,0,0,0,28.4,33.2,25.8,11.1,34.6
Marina Barrage,2014,3,11,13,0,0,0,0,28.6,34.4,25.9,8.5,28.1
Marina Barrage,2014,3,11,14,0,0,0,0,29,34.8,26.2,9.2,35.6
Marina Barrage,2014,3,11,15,0,0,0,0,28.4,30.7,26.4,9.7,31
Marina Barrage,2014,3,11,16,31,11.6,15.8,24.4,26.5,28.5,23.7,7.1,75.2
Marina Barrage,2014,3,12,17,29.2,20.4,24.6,24.6,26.7,30.2,24.6,5.9,27
Marina Barrage,2014,3,12,18,31.8,11.4,17.2,26,27,30.9,25.3,5.4,26.3
Marina Barrage,2014,3,12,19,4.2,4.2,4.2,4.2,27.5,31.4,25.6,6.2,29.5
Marina Barrage,2014,3,12,20,71.6,52.8,63.6,71.4,27.2,33.4,23.6,5.6,40.7
Marina Barrage,2014,3,12,21,0.4,0.4,0.4,0.4,27.9,31.5,25.5,6.1,21.2
Marina Barrage,2014,3,12,22,0,0,0,0,27.7,31.4,25.5,8.6,28.4
Marina Barrage,2014,3,12,23,0,0,0,0,28.3,33,25.5,8.8,28.8
Marina Barrage,2014,3,13,24,0,0,0,0,28.4,32.5,25.5,8.4,29.2
Marina Barrage,2014,3,13,25,0,0,0,0,28.8,33.2,26.2,10.9,32.8
Marina Barrage,2014,3,13,26,0,0,0,0,28.9,32.7,26.6,9,29.9
Marina Barrage,2014,3,13,27,0,0,0,0,29.1,32.7,26.6,8.2,25.9
Marina Barrage,2014,3,13,28,0,0,0,0,28.8,31.8,26.5,7.2,26.3
Marina Barrage,2014,3,13,29,0,0,0,0,29.3,33.1,27.3,5.6,20.5
Marina Barrage,2014,3,13,30,0,0,0,0,29.2,33,26.8,5.2,17.6
Marina Barrage,2014,3,14,31,0,0,0,0,29.4,33,27.3,6.6,26.3
Marina Barrage,2014,4,14,1,0,0,0,0,28.9,32.6,26.5,4.4,22.3
Marina Barrage,2014,4,14,2,0,0,0,0,29.5,33.3,27.3,4.6,20.9
Marina Barrage,2014,4,14,3,0,0,0,0,29.6,33.2,27.7,6.6,28.4
Marina Barrage,2014,4,14,4,0.6,0.6,0.6,0.6,29.2,32.1,27,5.8,19.1
Marina Barrage,2014,4,14,5,28.4,7.8,9.2,17.4,26.7,28.5,23.5,4.6,85
Marina Barrage,2014,4,14,6,0,0,0,0,28.9,32.9,26,8.7,27
Marina Barrage,2014,4,15,7,0,0,0,0,29.2,34.5,26.4,5.3,19.1
Marina Barrage,2014,4,15,8,3.8,2,2.2,3,28.3,32.7,25.4,4.9,19.8
Marina Barrage,2014,4,15,9,0,0,0,0,28.7,32.8,25.9,5.6,27.4
Marina Barrage,2014,4,15,10,8.2,8,8.2,8.2,28.5,33.9,24.2,5.2,22
Marina Barrage,2014,4,15,11,3.4,2.2,2.4,3.4,28.2,32.2,24.7,5.4,29.9
Marina Barrage,2014,4,15,12,2.4,1.2,1.2,1.2,27.5,31.3,24.5,4.8,30.2
Marina Barrage,2014,4,15,13,0,0,0,0,28.9,33,25.7,4.9,18
Marina Barrage,2014,4,16,14,46,37.8,45.2,46,28.6,33.1,23.2,5.5,46.1
Marina Barrage,2014,4,16,15,0,0,0,0,29,32.7,25.9,4.8,19.8
Marina Barrage,2014,4,16,16,0,0,0,0,29.2,32.7,26.9,4.4,16.9
Marina Barrage,2014,4,16,17,0.4,0.4,0.4,0.4,29.3,33.3,26.9,3.6,18
Marina Barrage,2014,4,16,18,17.8,15.6,17.6,17.6,28.5,32.4,24.7,5.2,39.2
Marina Barrage,2014,4,16,19,0,0,0,0,29.3,32.6,26.3,4.8,21.6
Marina Barrage,2014,4,16,20,0,0,0,0,28.8,31.8,27.2,4.8,26.6
Marina Barrage,2014,4,17,21,25.4,18.8,21.4,21.4,27.2,29.2,25.3,4.4,29.9
Marina Barrage,2014,4,17,22,0,0,0,0,28.8,33.8,25.8,4.4,19.4
Marina Barrage,2014,4,17,23,0,0,0,0,29.2,33,26.4,4.4,20.9
Marina Barrage,2014,4,17,24,0,0,0,0,29.3,34.1,26.8,5.8,38.2
Marina Barrage,2014,4,17,25,0,0,0,0,29.4,33.5,26.3,5.3,21.6
Marina Barrage,2014,4,17,26,0,0,0,0,29.7,33.1,27.5,4.1,19.4
Marina Barrage,2014,4,17,27,53.6,44,51.2,53.6,29.1,32.3,23.8,4.2,31.7
Marina Barrage,2014,4,18,28,50.4,26.6,36.2,42.4,28.9,32.8,24.4,4.3,30.6
Marina Barrage,2014,4,18,29,1,0.8,0.8,1,29.4,32.8,25.8,4,23
Marina Barrage,2014,4,18,30,0,0,0,0,29.3,32.1,27.2,4.1,17.3
Marina Barrage,2014,5,18,1,2,2,2,2,28.8,30.8,25.2,5.4,30.2
Marina Barrage,2014,5,18,2,0,0,0,0,30.1,33.5,27.5,4.2,16.6
Marina Barrage,2014,5,18,3,0,0,0,0,30.2,34.5,28.8,5.4,19.1
Marina Barrage,2014,5,18,4,0,0,0,0,30.3,33.9,27.5,5.9,22.7
Marina Barrage,2014,5,19,5,0,0,0,0,30.2,33.7,27.4,5.4,24.8
Marina Barrage,2014,5,19,6,0,0,0,0,30.6,34.3,28.2,5.5,19.1
Marina Barrage,2014,5,19,7,5.2,3.6,4.8,4.8,29.1,34,25.5,5.3,24.5
Marina Barrage,2014,5,19,8,0,0,0,0,28.6,32,25.6,4.3,24.5
Marina Barrage,2014,5,19,9,1.2,1.2,1.2,1.2,29.7,33,28,3.4,13.3
Marina Barrage,2014,5,19,10,0,0,0,0,30.6,34.1,28.8,4.8,18.7
Marina Barrage,2014,5,19,11,0,0,0,0,30.1,34.4,28,4,15.8
Marina Barrage,2014,5,20,12,0,0,0,0,29.2,32.9,27.7,3.4,28.1
Marina Barrage,2014,5,20,13,0,0,0,0,30.2,34,27,4.6,21.2
Marina Barrage,2014,5,20,14,9,7.6,8.4,8.8,28.5,30.2,24.8,5.4,40.7
Marina Barrage,2014,5,20,15,0,0,0,0,29.9,32.9,27.3,5,18.7
Marina Barrage,2014,5,20,16,1.6,1.4,1.6,1.6,29.4,32,24.7,4.5,42.1
Marina Barrage,2014,5,20,17,0,0,0,0,29.2,31.3,27.5,4.8,32.4
