Year,Week,Max National,Avg National,Max South,Avg South,Max North,Avg North,Max East,Avg East,Max Central,Avg Central,Max West,Avg West
2016.0,5.0,47.0,47.0,44.0,44.0,37.0,37.0,47.0,47.0,47.0,47.0,34.0,34.0
2016.0,6.0,64.0,48.91851851851852,60.0,44.97037037037037,59.0,42.629629629629626,64.0,47.49629629629629,59.0,45.11851851851852,60.0,42.525925925925925
2016.0,7.0,58.0,51.67948717948718,58.0,49.57051282051282,56.0,47.60897435897436,58.0,50.583333333333336,58.0,48.60897435897436,56.0,43.19871794871795
2016.0,8.0,57.0,53.71653543307087,54.0,49.2992125984252,53.0,45.330708661417326,57.0,53.70866141732284,53.0,48.44881889763779,52.0,47.92913385826772
2016.0,9.0,55.0,52.15384615384615,55.0,51.125,52.0,46.08653846153846,55.0,51.06730769230769,54.0,48.88461538461539,53.0,47.70192307692308
2016.0,10.0,56.0,53.083333333333336,55.0,52.78030303030303,56.0,48.43939393939394,53.0,48.40151515151515,55.0,50.553030303030305,52.0,44.621212121212125
2016.0,11.0,67.0,58.5875,63.0,57.98125,60.0,54.38125,59.0,55.21875,63.0,56.7875,67.0,57.0875
2016.0,12.0,70.0,63.96153846153846,66.0,62.13461538461539,61.0,58.23717948717949,67.0,59.27564102564103,64.0,60.72435897435897,70.0,61.544871794871796
2016.0,13.0,84.0,71.30322580645161,82.0,68.83870967741936,84.0,66.81290322580645,75.0,62.55483870967742,83.0,68.14193548387097,75.0,63.651612903225804
2016.0,14.0,62.0,58.06896551724138,57.0,54.96551724137931,59.0,55.293103448275865,57.0,53.706896551724135,56.0,53.93103448275862,62.0,58.06896551724138
2016.0,15.0,77.0,64.71538461538462,77.0,63.04615384615385,71.0,61.93846153846154,68.0,58.47692307692308,73.0,60.09230769230769,69.0,59.23076923076923
2016.0,16.0,72.0,62.87786259541985,65.0,59.7557251908397,72.0,60.25954198473283,71.0,58.6793893129771,67.0,58.42748091603053,69.0,59.94656488549618
2016.0,17.0,81.0,68.44444444444444,81.0,61.07843137254902,72.0,65.66666666666667,75.0,58.56209150326797,78.0,62.5359477124183,71.0,64.05882352941177
2016.0,18.0,66.0,58.892405063291136,61.0,52.335443037974684,66.0,58.550632911392405,62.0,48.75949367088607,61.0,52.24050632911393,61.0,55.38607594936709
2016.0,19.0,65.0,58.3416149068323,65.0,53.577639751552795,63.0,56.84472049689441,61.0,50.298136645962735,63.0,51.17391304347826,62.0,53.40372670807454
2016.0,20.0,75.0,57.20625,69.0,53.0625,75.0,55.80625,64.0,50.95625,72.0,53.38125,70.0,49.6125
2016.0,21.0,59.0,49.396946564885496,52.0,44.847328244274806,59.0,46.69465648854962,52.0,43.02290076335878,54.0,40.12977099236641,55.0,42.61068702290076
2016.0,22.0,78.0,64.89583333333333,63.0,58.145833333333336,78.0,64.4375,66.0,56.020833333333336,63.0,59.135416666666664,66.0,61.239583333333336
2016.0,23.0,69.0,60.0,69.0,55.05128205128205,69.0,59.62179487179487,66.0,51.80128205128205,67.0,53.73717948717949,62.0,54.48076923076923
2016.0,24.0,65.0,56.496815286624205,60.0,46.43312101910828,65.0,56.031847133757964,58.0,44.611464968152866,58.0,44.140127388535035,55.0,41.92993630573248
2016.0,25.0,64.0,54.09803921568628,59.0,50.627450980392155,64.0,53.111111111111114,58.0,47.294117647058826,57.0,47.68627450980392,56.0,48.79738562091503
2016.0,26.0,69.0,57.10596026490066,59.0,52.23841059602649,69.0,57.079470198675494,55.0,48.09933774834437,57.0,50.47019867549669,62.0,50.70860927152318
2016.0,27.0,64.0,55.672955974842765,55.0,47.691823899371066,64.0,55.515723270440255,52.0,43.295597484276726,54.0,44.301886792452834,55.0,48.55974842767296
2016.0,28.0,68.0,57.0,57.0,49.79259259259259,68.0,56.837037037037035,57.0,45.18518518518518,56.0,46.77037037037037,60.0,50.94074074074074
2016.0,29.0,63.0,55.32692307692308,61.0,51.39102564102564,63.0,54.493589743589745,63.0,50.12820512820513,60.0,48.217948717948715,56.0,44.35897435897436
2016.0,30.0,64.0,57.885714285714286,57.0,49.82142857142857,64.0,57.878571428571426,55.0,47.99285714285714,58.0,51.00714285714286,62.0,52.59285714285714
