date,locality,cases with onset in laStreet 2 weeks
180102,"Upp Serangoon View / Upp Serangoon View (Boathouse Residences, Heron Bay) ",7
180102,"Tampines Street 42 (Blk 446) / Tampines Street 43 (Blk 434,436, 438)",3
180102,"Choa Chu Kang Avenue 2 (Blk 249, 276) / Hong San Terminal",1
180102,"Pasir Ris Drive 4 (Blk 461) / Pasir Ris Drive 4 (The Esparis) / Pasir Ris Drive 6 (Blk 454)",1
180102,"Anchorvale Lane (Blk 311B) / Anchorvale Road (Blk 309D)",1
180102,"Pasir Ris Street 51 (Blk 564, 565)",1
180105,"Upp Serangoon View / Upp Serangoon View (Boathouse Residences, Heron Bay) ",45
180105,"Tampines Street 42 (Blk 446) / Tampines Street 43 (Blk 434, 436, 438)",2
180105,"Choa Chu Kang Avenue 2 (Blk 249, 250, 276) / Hong San Terminal ",2
180105,"Pasir Ris Drive 4 (Blk 461) / Pasir Ris Drive 4 (The Esparis) / Pasir Ris Drive 6 (Blk 454)",1
180105,"Cassia Cres (Blk 28) / Pine Cl (Blk 3)",1
180105,"Holland Cl (Blk 1, 3A)",1
180105,"Happy Avenue EaStreet / Jalan Anggerek",1
180111,"Upp Serangoon View / Upp Serangoon View (Boathouse Residences, Heron Bay, Rio ViStreeta)",43
180111,"Tampines Street 42 (Blk 444, 446) / Tampines Street 43 (Blk 434, 436, 437, 438, 474) / Tampines Street 44 (Blk 465)",5
180111,"Cassia Cres (Blk 28) / Pine Cl (Blk 3)",1
180111,"Pasir Ris Street 51 (Blk 559, 560, 564)",1
180111,"Boon Keng Road (Blk 5, 6)",2
180111,"Geylang EaStreet Avenue 1 (Blk 131)",2
180111,"Jurong WeStreet Avenue 1 (Blk 484) / Jurong WeStreet Street 41 (Blk 492)",2
180112,"Hougang Avenue 7 (The FLorongida) / Upp Serangoon View / Upp Serangoon View (Boathouse Residences, Heron Bay, Rio ViStreeta)",33
180112,"Tampines Street 42 (Blk 444, 446) / Tampines Street 43 (Blk 434, 436, 437, 438, 474) / Tampines Street 44 (Blk 465)",4
