date,locality,cases with onset in last 2 weeks
160104,Siglap Ave South / Siglap Walk,1
160104,"Upp Boon Keng Rd (Blk 15, 16)",1
160104,"Woodlands Circle (Blk 721, 726, 733)",1
160104,"Yishun Ring Rd (Blk 855) / Yishun St 81 (Blk 852, 875)",3
160104,Yishun St 72 (Blk 759),3
160104,Amber Rd (The Shore Residences) / Amber Rd,2
160104,Ang Mo Kio Ave 3 (Blk 427) / Ang Mo Kio Ave 10 (Blk 432),1
160104,Bedok Gdn / Bilal Ln,1
160104,"Bedok Nth Rd (Blk 119, 124)",2
160104,"Bendemeer Rd (Blk 27, 30)",2
160104,Cardiff Gr / Chiselhurst Gr,2
160104,"Choa Chu Kang Cres (Blk 660, 692B)",1
160104,Compassvale Ln (Blk 206A),1
160104,Dover Rise (Heritage View),1
160104,Glasgow Rd,1
160104,"Jln Bt Merah (Blk 104, 106)",2
160104,Jln Dondang Sayang / Jln Puteri Jula Juli,2
160104,Jln Salang / Sembawang Rd,2
160104,Jurong East St 32 (Blk 316) / Jurong East St 32 (The Mayfair),2
160104,Klang Ln (Blk 671A),1
160104,Lor 4 Toa Payoh (Blk 80B) / Toa Payoh Central (Blk 79C),1
160104,Lor Marican / Lor Sarina,1
160104,Marine Parade Rd (Laguna Pk),2
160104,Pasir Ris Dr 4 (Blk 461) / Pasir Ris Dr 6 (Blk 454),1
160104,Pasir Ris St 21 (Blk 227),2
160104,"Punggol East (Blk 167A, 167D)",2
160104,Roseburn Ave,2
160104,"St George's Rd (Blk 1, 13)",1
160104,Tampines Ctrl 7 (Blk 515B) / Tampines Ctrl 8 (Blk 519C),1
160104,Tampines St 21 (Blk 203),1
160104,"Tampines St 22 (Blk 285, 288)",1
160104,Tampines St 83 (Blk 884) / Tampines St 84 (Blk 883),2
160104,Windsor Pk Rd,1
160104,Woodgrove Ave (Woodhaven) / Woodlands Ave 1 (Blk 352),1
160104,Woodlands Dr 50 (Blk 899B) / Woodlands Ring Rd (Blk 608),1
160104,Yishun Ave 6 (Blk 404) / Yishun Ring Rd (Blk 412),2
160108,"Tampines Ave 1 (Blk 890B) / Tampines Ave 3 / Tampines Ave 4 / Tampines Ave 4 (Blk 801, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 816) / Tampines St 81 (Blk 813, 814, 818, 819 820, 894, 894A, 895A, 899, 899A) / Tampines St 91 (Blk 927, 929, 932, 933, 934)",33
