ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 RAFFLES BOULEVARD SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE SINGAPORE 039593,1,SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE,1.2936221622883302,103.857252816966,103.857252816966,039593,RAFFLES BOULEVARD,SUNTEC SINGAPORE CONVENTION & EXHIBITION CENTRE,30663.672709837596,30667.697655508302
6 RAFFLES BOULEVARD DBS MARINA SQUARE SINGAPORE 039594,6,DBS MARINA SQUARE,1.29098168416986,103.85764759167499,103.85764759167499,039594,RAFFLES BOULEVARD,DBS MARINA SQUARE,30707.6105019692,30375.7275995519
6 RAFFLES BOULEVARD MARINA MANDARIN SINGAPORE 039594,6,MARINA MANDARIN,1.29145526145624,103.857007330784,103.857007330784,039594,RAFFLES BOULEVARD,MARINA MANDARIN,30636.3544622054,30428.092664245498
6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,6,MARINA SQUARE,1.29103980256765,103.85762353235901,103.85762353235901,039594,RAFFLES BOULEVARD,MARINA SQUARE,30704.932844789702,30382.154007049303
6 RAFFLES BOULEVARD MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD. SINGAPORE 039594,6,MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD.,1.29145526802577,103.85700733568001,103.85700733568001,039594,RAFFLES BOULEVARD,MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD.,30636.355007029102,30428.0933906771
6 RAFFLES BOULEVARD OCBC MARINA SQUARE SINGAPORE 039594,6,OCBC MARINA SQUARE,1.2915948049433401,103.85704871565599,103.85704871565599,039594,RAFFLES BOULEVARD,OCBC MARINA SQUARE,30640.9600991439,30443.522707251803
6 RAFFLES BOULEVARD UOB MARINA SQUARE SINGAPORE 039594,6,UOB MARINA SQUARE,1.29097199909543,103.857575411708,103.857575411708,039594,RAFFLES BOULEVARD,UOB MARINA SQUARE,30699.5775001626,30374.656597215697
6 RAFFLES BOULEVARD UOB MARINA SQUARE AUTOLOBBY SINGAPORE 039594,6,UOB MARINA SQUARE AUTOLOBBY,1.29097199909543,103.857575411708,103.857575411708,039594,RAFFLES BOULEVARD,UOB MARINA SQUARE AUTOLOBBY,30699.5775001626,30374.656597215697
7 RAFFLES BOULEVARD THE PAN PACIFIC HOTEL SINGAPORE SINGAPORE 039595,7,THE PAN PACIFIC HOTEL SINGAPORE,1.29241443325541,103.858814384016,103.858814384016,039595,RAFFLES BOULEVARD,THE PAN PACIFIC HOTEL SINGAPORE,30837.4629065022,30534.154887596098
9 RAFFLES BOULEVARD CITIBANK MILLENIA WALK SINGAPORE 039596,9,CITIBANK MILLENIA WALK,1.29296504146628,103.859343968909,103.859343968909,039596,RAFFLES BOULEVARD,CITIBANK MILLENIA WALK,30896.400512521202,30595.038906576097
9 RAFFLES BOULEVARD DBS MILLENIA WALK SINGAPORE 039596,9,DBS MILLENIA WALK,1.29296504146628,103.859343968909,103.859343968909,039596,RAFFLES BOULEVARD,DBS MILLENIA WALK,30896.400512521202,30595.038906576097
9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,9,MILLENIA WALK,1.2920460530205,103.85990023349899,103.85990023349899,039596,RAFFLES BOULEVARD,MILLENIA WALK,30958.309011945497,30493.422535477202
"9 RAFFLES BOULEVARD ROY LICHTENSTEIN SCULPTURE PLAZA,THE (MILLENIA WALK) SINGAPORE 039596",9,"ROY LICHTENSTEIN SCULPTURE PLAZA,THE (MILLENIA WALK)",1.29207995436308,103.859972413485,103.859972413485,039596,RAFFLES BOULEVARD,"ROY LICHTENSTEIN SCULPTURE PLAZA,THE (MILLENIA WALK)",30966.3419834841,30497.1712555289
"5 RAFFLES AVENUE MANDARIN ORIENTAL, SINGAPORE SINGAPORE 039797",5,"MANDARIN ORIENTAL, SINGAPORE",1.29066059179027,103.858323976383,103.858323976383,039797,RAFFLES AVENUE,"MANDARIN ORIENTAL, SINGAPORE",30782.8866747944,30340.223587598703
"7 RAFFLES AVENUE THE RITZ-CARLTON, MILLENIA SINGAPORE SINGAPORE 039799",7,"THE RITZ-CARLTON, MILLENIA SINGAPORE",1.29071831101811,103.860047263796,103.860047263796,039799,RAFFLES AVENUE,"THE RITZ-CARLTON, MILLENIA SINGAPORE",30974.6737605575,30346.607831796602
5A RAFFLES AVENUE MARINA LEISUREPLEX SINGAPORE 039801,5A,MARINA LEISUREPLEX,1.29024991373292,103.85903558780198,103.85903558780198,039801,RAFFLES AVENUE,MARINA LEISUREPLEX,30862.083399013598,30294.8137120791
8 RAFFLES AVENUE DBS ESPLANADE MALL SINGAPORE 039802,8,DBS ESPLANADE MALL,1.28935082986746,103.855901267402,103.855901267402,039802,RAFFLES AVENUE,DBS ESPLANADE MALL,30513.2611708473,30195.3943425771
8 RAFFLES AVENUE ESPLANADE MALL SINGAPORE 039802,8,ESPLANADE MALL,1.28950956232932,103.855665761542,103.855665761542,039802,RAFFLES AVENUE,ESPLANADE MALL,30487.0512157073,30212.9459290989
8 RAFFLES AVENUE LIBRARY@ESPLANADE SINGAPORE 039802,8,LIBRARY@ESPLANADE,1.28966932376703,103.85595270768499,103.85595270768499,039802,RAFFLES AVENUE,LIBRARY@ESPLANADE,30518.9857243402,30230.6118075289
30 RAFFLES AVENUE DBS SINGAPORE FLYER SINGAPORE 039803,30,DBS SINGAPORE FLYER,1.28967817604307,103.863412595795,103.863412595795,039803,RAFFLES AVENUE,DBS SINGAPORE FLYER,31349.2077933885,30231.5992399603
30 RAFFLES AVENUE SINGAPORE FLYER SINGAPORE 039803,30,SINGAPORE FLYER,1.28971341772821,103.863372152589,103.863372152589,039803,RAFFLES AVENUE,SINGAPORE FLYER,31344.706762601603,30235.496030988197
30 RAFFLES AVENUE SINGAPORE FLYER (MSCP) SINGAPORE 039803,30,SINGAPORE FLYER (MSCP),1.29034626598228,103.862406945245,103.862406945245,039803,RAFFLES AVENUE,SINGAPORE FLYER (MSCP),31237.2865964286,30305.4718863815
20 RAFFLES AVENUE THE FLOAT @ MARINA BAY SINGAPORE 039805,20,THE FLOAT @ MARINA BAY,1.28827403820691,103.858974713843,103.858974713843,039805,RAFFLES AVENUE,THE FLOAT @ MARINA BAY,30855.3108468531,30076.3315056637
35A RAFFLES AVENUE SINGAPORE 039807,35A,NIL,1.29096518542722,103.86205851405501,103.86205851405501,039807,RAFFLES AVENUE,35A RAFFLES AVENUE SINGAPORE 039807,31198.5084058736,30373.908372657403
7 CROSS STREET TELOK AYER MRT STATION SINGAPORE 048416,7,TELOK AYER MRT STATION (DT18),1.28206894769396,103.84864878108299,103.84864878108299,048416,CROSS STREET,TELOK AYER MRT STATION (DT18),29706.1259155748,29390.195390759
10 CROSS STREET SINGAPORE 048417,10,NIL,1.28265449617756,103.84820686523099,103.84820686523099,048417,CROSS STREET,10 CROSS STREET SINGAPORE 048417,29656.9439228531,29454.9420282133
5 CROSS STREET MARKET STREET INTERIM HAWKER CENTRE SINGAPORE 048418,5,MARKET STREET INTERIM HAWKER CENTRE,1.28164602016,103.848766346361,103.848766346361,048418,CROSS STREET,MARKET STREET INTERIM HAWKER CENTRE,29719.2102503804,29343.4303268045
22 CROSS STREET CHINA SQUARE CENTRAL SINGAPORE 048421,22,CHINA SQUARE CENTRAL,1.28415741076465,103.84670268393299,103.84670268393299,048421,CROSS STREET,CHINA SQUARE CENTRAL,29489.540028608397,29621.125638427202
20 CROSS STREET CHINA SQUARE CENTRAL SINGAPORE 048422,20,CHINA SQUARE CENTRAL,1.28377015953589,103.847418081421,103.847418081421,048422,CROSS STREET,CHINA SQUARE CENTRAL,29569.1580831613,29578.3058245406
18 CROSS STREET CHINA SQUARE CENTRAL SINGAPORE 048423,18,CHINA SQUARE CENTRAL,1.28351521684053,103.846878905539,103.846878905539,048423,CROSS STREET,CHINA SQUARE CENTRAL,29509.1524108015,29550.115253617998
18 CROSS STREET PETRA CHURCH SINGAPORE 048423,18,PETRA CHURCH,1.2835043049059198,103.846900516194,103.846900516194,048423,CROSS STREET,PETRA CHURCH,29511.557504787997,29548.9086809829
8 CROSS STREET MANULIFE TOWER SINGAPORE 048424,8,MANULIFE TOWER,1.28245765117378,103.84898743176001,103.84898743176001,048424,CROSS STREET,MANULIFE TOWER,29743.814700860497,29433.1764421947
51 TELOK AYER STREET CHINA SQUARE FOOD CENTRE SINGAPORE 048441,51,CHINA SQUARE FOOD CENTRE,1.28289702779316,103.849281764587,103.849281764587,048441,TELOK AYER STREET,CHINA SQUARE FOOD CENTRE,29776.571227395,29481.760642237998
74 TELOK AYER STREET AMOY HOTEL SINGAPORE 048462,74,AMOY HOTEL,1.28317011450095,103.84875355714199,103.84875355714199,048462,TELOK AYER STREET,AMOY HOTEL,29717.785899602797,29511.956800030497
76 TELOK AYER STREET AMOY HOTEL SINGAPORE 048464,76,AMOY HOTEL,1.28300039630386,103.848645396791,103.848645396791,048464,TELOK AYER STREET,AMOY HOTEL,29705.748655426298,29493.190165838198
76 TELOK AYER STREET FUK TAK CHI MUSEUM SINGAPORE 048464,76,FUK TAK CHI MUSEUM,1.28292172352505,103.84873491676001,103.84873491676001,048464,TELOK AYER STREET,FUK TAK CHI MUSEUM,29715.7115438748,29484.4909959771
80 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048466,80,FAR EAST SQUARE,1.28271456105964,103.848590125427,103.848590125427,048466,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.583943756297
82 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048467,82,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048467,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
84 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048468,84,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048468,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
86 TELOK AYER STREET FAR EAST SQUARE SINGAPORE 048469,86,FAR EAST SQUARE,1.2827145607859098,103.848590125427,103.848590125427,048469,TELOK AYER STREET,FAR EAST SQUARE,29699.597595775496,29461.5839134883
