unique location,X,Y
Jalan Lepas ,33978.846996066204,37535.2087745517
Rivervale Lk ,,
Upp Serangoon Cres ,,
Streetrathmore Avenue ,,
Bedok Terminal ,,
CaRoadiff Gr ,,
Circuit Road ,,
Chin Swee Road ,,
Bt Merah View ,,
Jalan Binchang,,
Simei Street 4,41713.490295292795,35981.208054794
Joo Chiat Lane,,
Pulasan Road ,36098.6262202747,32747.4327004757
Dakota Cres,,
Lothian Terminal,,
Sungei Kadut Street 4,18757.3863548599,44553.575342834
"Lorong 1, 6, 7Realty Park ",,
Lentor Green,28431.142007607003,40968.893506990695
Jalan Teck Whye ,,
Tampines Street 33 ,,
Sommerville Walk,32172.3972174926,36450.7584643383
Ang Mo Kio Avenue 5 ,,
Brighton  Cres ,,
Hougang Avenue 1 ,,
Jalan Sembilang,,
"Clover Avenue, Cres ",,
Pemimpin Drive ,,
Pasir Ris Gr ,,
"Yunnan Drive 1, Drive 3, Road, Walk 1",,
Lorong 3 Geylang ,,
Woodlands Drive 75 ,25026.5000411719,46987.9186134674
Jalan Loyang Besar,42207.0012645004,40157.040956188
Kew Drive ,,
Jalan Rajah ,,
Kaki Bt Ind Terminal ,,
Kang Choo Bin Walk ,33370.7333589531,38595.3504735585
Punggol Road ,,
Lengkok Bahru ,,
WeStreet CoaStreet Cres ,,
Almond Cres ,,
Kim Keat Road ,,
Blair Road ,,
Merryn Road,26843.6043921579,34404.8790066615
"WeStreet CoaStreet Lane, Pl, Terminal",,
Canberra Drive,,
Angsana Avenue ,32606.021860999103,34838.990964707
LincoLane Road ,,
Tampines Street 42 ,41138.8482052954,37824.279581422
Carpmael Road ,35136.5948610092,32986.5671153981
Choa Chu Kang Avenue 1 ,,
Jurong WeStreet Avenue 3 ,,
Jalan Haji Salam ,41390.7235950138,33532.536798439905
Jalan Bunga Rampai ,,
Lorong Lew Lian ,,
Yunnan Cres,,
Tampines Avenue 4 ,,
Tampines Street 83 ,39266.4328370281,36942.008596768595
Chai Chee Street ,,
"Frankel Cl, Drive, Street",,
Jalan Kemboja ,,
Jalan Damai ,36298.4486082122,35185.2975904793
Simei Street 3 ,,
Hacienda Gr ,,
Bedok Reservior Road ,,
Siglap Avenue South ,37599.5564799793,33196.1020452902
Haigsville Drive,,
Jalan Bahagia ,30857.1899135504,34250.1991976798
French Road ,,
Hougang Avenue 1 ,,
Jurong EaStreet Street 24 ,,
Fraser Street,,
Sembawang Cres ,,
Pasir Ris Street 72 ,,
Tampines Avenue5 ,,
Jurong EaStreet Street 13 ,,
Boon Lay Drive ,14207.773002624499,36487.3164377511
Rivervale Drive ,,
Yishun Street 81,28005.5299047502,43731.9742311761
Serangoon Avenue 1 ,,
Tampines Avenue 1 ,,
Jalan BungaRampai ,,
Lorong N Telok Kurau ,,
Jalan Bt Merah ,,
LAvenuender Street,,
SunbiRoad Circle,,
Lorong 7 Geylang ,,
Evelyn Road ,28826.2256707475,33088.6028191429
Jalan Rajawali,20863.1177538065,36157.5667017531
Jalan Pari Burong ,40754.598694514505,35069.8589511309
Compassvale Drive ,,
Choa Chu Kang Avenue 5 ,,
Jurong WeStreet Street41 ,,
Choa Chu Kang Street 64,,
Bedok North Avenue 3 ,,
Defu Lane 8,34902.7146351133,37494.139721380496
Kensington Park Drive ,,
Geylang Serai ,,
"Merryn Avenue, Road, Terminal",,
Choa Chu Kang North 6 ,,
"Lorong K, L Telok Kurau",,
Choa Chu Kang Avenue 1,18760.7054814184,40361.808103554
Loyang Besar Cl,,
Bedok North Avenue 3 ,39410.7197100483,34355.3472371195
Punggol Walk,35356.3056146158,42591.3937915042
"Woodlands Ind Park E3, E5, E7, E9",,
Serangoon Avenue 2 ,,
Whampoa Drive ,30719.291370905,34105.8726130649
Clementi Avenue 4 ,,
Lorong H Telok Kurau ,,
Tai Hwan Gr,,
Teban Gardens Road ,17449.6834526574,34002.9779342096
"Begonia Lane, Terminal ",,
"Lorong 6, 8, 12, 14Geylang",,
Gladiola Drive ,,
Cashew Road ,,
Changi Road,36684.266817784905,33390.350947240404
Hougang Avenue 2 ,,
