unique location,X,Y
Jln Baiduri ,,
Yishun Ave 2 ,,
Jln Haji Salam ,,
Lengkong Dua ,,
Circuit Link,,
Hougang St 11 ,,
Farrer Pk Rd ,,
Pandan Gdns ,,
Berwick Dr ,,
Bedok Nth St 4 ,,
Jln Sotong ,,
Cranborne Rd ,,
Tanah Merah Kechil Rise,,
Pasir Ris St 11 ,,
Lim Tua Tow Rd,,
Jln Besar ,,
"Lor K, L TelokKurau",,
Marsiling Dr ,,
Ang Mo Kio Ave4 ,,
Hume Ave,,
Lor 7 Toa Payoh ,,
Sin Ming Dr,,
Lor Ong Lye,,
Branksome Rd ,,
Almond St ,,
Kim Keat Ave ,,
Jln Lembah Thomson,,
Koon Seng Rd ,,
Serangoon Ave 3 ,,
S'goon Nth Ave 3 ,,
Mcnair Rd ,,
Simei St 3 ,,
Jurong East Ave 1 ,,
Tanah Merah Kechil Rd South ,,
Flora Road,,
Clementi Ave 4 ,,
Lor 33 Getlang ,,
